Time(s),Queue Density,Dynamic Density
0.0666667,0.0376536,0
0.133333,0.0377245,0
0.2,0.0355283,0
0.266667,0.0369452,0
0.333333,0.0393539,0
0.4,0.0406645,0
0.466667,0.0439588,0
0.533333,0.0422939,0
0.6,0.0438525,0
0.666667,0.0474656,0
0.733333,0.047501,0
0.8,0.0467217,0
0.866667,0.0477135,0
0.933333,0.0485282,0
1,0.0494138,0
1.06667,0.04952,0
1.13333,0.0495909,0
1.2,0.0494846,0
1.26667,0.04952,0
1.33333,0.0485636,0
1.4,0.0496617,0
1.46667,0.0495555,0
1.53333,0.051114,0
1.6,0.0505118,0
1.66667,0.0503702,0
1.73333,0.0525663,0
1.8,0.0523892,0
1.86667,0.0542312,0
1.93333,0.0547625,0
2,0.0570649,0
2.06667,0.056817,0
2.13333,0.0582339,0
2.2,0.0567461,0
2.26667,0.0580922,0
2.33333,0.0583401,0
2.4,0.0579151,0
2.46667,0.0579505,0
2.53333,0.0578796,0
2.6,0.0591903,0
2.66667,0.0589069,0
2.73333,0.0578796,0
2.8,0.0583401,0
2.86667,0.0583047,0
2.93333,0.0581276,0
3,0.0568524,0
3.06667,0.0578796,0
3.13333,0.0577025,0
3.2,0.0578796,0
3.26667,0.0577379,0
3.33333,0.0575608,0
3.4,0.0567816,0
3.46667,0.0568524,0
3.53333,0.0598633,0
3.6,0.0601821,0
3.66667,0.0616698,0
3.73333,0.0640077,0
3.8,0.0647161,0
3.86667,0.0663455,0
3.93333,0.0685063,0
4,0.0703836,0
4.06667,0.0733591,0
4.13333,0.0728986,0
4.2,0.071588,0
4.26667,0.0726152,0
4.33333,0.0724381,0
4.4,0.0728277,0
4.46667,0.0704899,0
4.53333,0.0703482,0
4.6,0.0696398,0
4.66667,0.0646807,0
4.73333,0.0669123,0
4.8,0.0658496,0
4.86667,0.0673727,0
4.93333,0.0660976,0
5,0.0655308,0
5.06667,0.0643619,0
5.13333,0.0635472,0
5.2,0.0624845,0
5.26667,0.061599,0
5.33333,0.0632992,0
5.4,0.0632992,0
5.46667,0.0637597,0
5.53333,0.0654245,0
5.6,0.0664164,0
5.66667,0.0681875,0
5.73333,0.0724381,0
5.8,0.0723673,0
5.86667,0.0764408,0
5.93333,0.0782119,0
6,0.0789558,0
6.06667,0.0792746,0
6.13333,0.0803372,0
6.2,0.0800184,0
6.26667,0.081329,0
6.33333,0.0816478,0
6.4,0.082923,0
6.46667,0.0836315,0
6.53333,0.0831001,0
6.6,0.0824271,0
6.66667,0.0823917,0
6.73333,0.081329,0
6.8,0.0818958,0
6.86667,0.0818604,0
6.93333,0.0822146,0
7,0.0821083,0
7.06667,0.082923,0
7.13333,0.0834189,0
7.2,0.082923,0
7.26667,0.0856505,0
7.33333,0.0852609,0
7.4,0.0879175,0
7.46667,0.0897949,0
7.53333,0.0917077,0
7.6,0.0926995,0
7.66667,0.094081,0
7.73333,0.0953207,0
7.8,0.0952853,0
7.86667,0.0943998,0
7.93333,0.0942581,0
8,0.0930537,0
8.06667,0.0920619,0
8.13333,0.0925578,0
8.2,0.0920973,0
8.26667,0.0927349,0
8.33333,0.0926287,0
8.4,0.0923099,0
8.46667,0.0916369,0
8.53333,0.0904325,0
8.6,0.0912826,0
8.66667,0.092239,0
8.73333,0.0899366,0
8.8,0.0920619,0
8.86667,0.0902554,0
8.93333,0.089299,0
9,0.0896178,0
9.06667,0.0904325,0
9.13333,0.0889094,0
9.2,0.0903617,0
9.26667,0.0888385,0
9.33333,0.0900429,0
9.4,0.0884134,0
9.46667,0.0913889,0
9.53333,0.0896886,0
9.6,0.0900429,0
9.66667,0.0913181,0
9.73333,0.0934788,0
9.8,0.0920619,0
9.86667,0.0907513,0
9.93333,0.0909284,0
10,0.0891573,0
10.0667,0.0916369,0
10.1333,0.0902908,0
10.2,0.0904679,0
10.2667,0.0889448,0
10.3333,0.0860402,0
10.4,0.0871737,0
10.4667,0.0848712,0
10.5333,0.0885906,0
10.6,0.0867132,0
10.6667,0.0874216,0
10.7333,0.0872445,0
10.8,0.087953,0
10.8667,0.0869611,0
10.9333,0.0866423,0
11,0.0889094,0
11.0667,0.0878113,0
11.1333,0.0881301,0
11.2,0.0850484,0
11.2667,0.086111,0
11.3333,0.0824271,0
11.4,0.0835252,0
11.4667,0.0830293,0
11.5333,0.0818958,0
11.6,0.0821083,0
11.6667,0.0845524,0
11.7333,0.0828168,0
11.8,0.0856505,0
11.8667,0.0827459,0
11.9333,0.0815416,0
12,0.0821083,0
12.0667,0.0841274,0
12.1333,0.0844108,0
12.2,0.0851192,0
12.2667,0.0846941,0
12.3333,0.0853671,0
12.4,0.0840565,0
12.4667,0.0849067,0
12.5333,0.0845524,0
12.6,0.0838086,0
12.6667,0.0841274,0
12.7333,0.0845524,0
12.8,0.08519,0
12.8667,0.0855088,0
12.9333,0.0856505,0
13,0.0864298,0
13.0667,0.0874925,0
