Time(s),Queue Density
21.2667,0.0989266
21.3333,0.0967377
21.4,0.0968157
21.4667,0.0970811
21.5333,0.0972215
21.6,0.097163
21.6667,0.0971396
21.7333,0.0974517
21.8,0.0972644
21.8667,0.0977639
21.9333,0.0981384
22,0.0979551
22.0667,0.0982282
22.1333,0.0979863
22.2,0.0980409
22.2667,0.0980487
22.3333,0.0980682
22.4,0.0979863
22.4667,0.0976858
22.5333,0.0978419
22.6,0.0981384
22.6667,0.0991997
22.7333,0.0995002
22.8,0.0997226
22.8667,0.100261
22.9333,0.101654
23,0.10229
23.0667,0.103105
23.1333,0.104018
23.2,0.104662
23.2667,0.104276
23.3333,0.103671
23.4,0.103262
23.4667,0.102251
23.5333,0.101806
23.6,0.10172
23.6667,0.101775
23.7333,0.101954
23.8,0.102036
23.8667,0.102286
23.9333,0.102446
24,0.102345
24.0667,0.102641
24.1333,0.10291
24.2,0.102969
24.2667,0.10318
24.3333,0.10318
24.4,0.103121
24.4667,0.103238
24.5333,0.103176
24.6,0.103449
24.6667,0.104026
24.7333,0.103995
24.8,0.104272
24.8667,0.10458
24.9333,0.104615
25,0.104487
25.0667,0.104545
25.1333,0.10435
25.2,0.104561
25.2667,0.104374
25.3333,0.104463
25.4,0.104705
25.4667,0.104654
25.5333,0.104647
25.6,0.10531
25.6667,0.105852
25.7333,0.107409
25.8,0.107721
25.8667,0.107717
25.9333,0.107772
26,0.108428
26.0667,0.108915
26.1333,0.109341
26.2,0.109883
26.2667,0.110172
26.3333,0.109758
26.4,0.109867
26.4667,0.110948
26.5333,0.11158
26.6,0.112267
26.6667,0.112548
26.7333,0.112684
26.8,0.112485
26.8667,0.113102
26.9333,0.113672
27,0.114027
27.0667,0.114897
27.1333,0.115942
27.2,0.116836
27.2667,0.119509
27.3333,0.122669
27.4,0.124601
27.4667,0.127784
27.5333,0.13052
27.6,0.132338
27.6667,0.135093
27.7333,0.137067
27.8,0.138155
27.8667,0.140438
27.9333,0.143029
28,0.141804
28.0667,0.144328
28.1333,0.146478
28.2,0.147773
28.2667,0.150614
28.3333,0.154524
28.4,0.1561
28.4667,0.159342
28.5333,0.161953
28.6,0.162503
28.6667,0.163755
28.7333,0.165289
28.8,0.165917
28.8667,0.167524
28.9333,0.168254
29,0.168871
29.0667,0.170712
29.1333,0.171848
29.2,0.171434
29.2667,0.1715
29.3333,0.172581
29.4,0.173073
29.4667,0.173818
29.5333,0.174325
29.6,0.174965
29.6667,0.166912
29.7333,0.168586
29.8,0.169038
29.8667,0.170431
29.9333,0.171532
30,0.171777
30.0667,0.171621
30.1333,0.17303
30.2,0.173303
30.2667,0.174657
30.3333,0.175909
30.4,0.176327
30.4667,0.177369
30.5333,0.178215
30.6,0.178297
30.6667,0.1785
30.7333,0.178988
30.8,0.178688
30.8667,0.178559
30.9333,0.178727
31,0.179854
31.0667,0.179554
31.1333,0.179413
31.2,0.179265
31.2667,0.17953
31.3333,0.179261
31.4,0.179499
31.4667,0.178723
31.5333,0.17962
31.6,0.179897
31.6667,0.180416
31.7333,0.180002
31.8,0.180158
31.8667,0.180642
31.9333,0.180447
32,0.180482
32.0667,0.181559
32.1333,0.181126
32.2,0.18065
32.2667,0.181473
32.3333,0.182281
32.4,0.182293
32.4667,0.183136
32.5333,0.183374
32.6,0.18312
32.6667,0.182632
32.7333,0.183151
32.8,0.182706
32.8667,0.182917
32.9333,0.182749
33,0.180919
33.0667,0.180935
33.1333,0.181161
33.2,0.181068
33.2667,0.181239
33.3333,0.181384
33.4,0.182457
33.4667,0.186308
33.5333,0.189453
33.6,0.191848
33.6667,0.194931
33.7333,0.197892
33.8,0.199098
33.8667,0.201357
33.9333,0.204026
34,0.20609
34.0667,0.209301
34.1333,0.210811
34.2,0.211607
34.2667,0.21426
34.3333,0.216321
34.4,0.217237
34.4667,0.22105
34.5333,0.22293
34.6,0.224795
34.6667,0.23183
34.7333,0.234417
34.8,0.236325
34.8667,0.237702
34.9333,0.239474
35,0.241429
35.0667,0.243227
35.1333,0.244308
35.2,0.244773
35.2667,0.245323
