Frame No.,Queue Density
0,0.045144
0.0666667,0.0435911
0.133333,0.0425259
0.2,0.0439422
0.266667,0.0467711
0.333333,0.0488117
0.4,0.0506846
0.466667,0.0504427
0.533333,0.050985
0.6,0.0530491
0.666667,0.0539738
0.733333,0.0539543
0.8,0.0554019
0.866667,0.0564671
0.933333,0.0567597
1,0.0565724
1.06667,0.0566309
1.13333,0.0572708
1.2,0.0582346
1.26667,0.0580629
1.33333,0.0583711
1.4,0.0588355
1.46667,0.0594559
1.53333,0.0594207
1.6,0.0591554
1.66667,0.0615238
1.73333,0.0620779
1.8,0.0643253
1.86667,0.0657261
1.93333,0.0659758
2,0.0659524
2.06667,0.066046
2.13333,0.0659563
2.2,0.0658821
2.26667,0.0661631
2.33333,0.0666781
2.4,0.0666898
2.46667,0.0660928
2.53333,0.0664869
2.6,0.0660148
2.66667,0.0658392
2.73333,0.0657027
2.8,0.0658977
2.86667,0.066128
2.93333,0.0640561
3,0.0646609
3.06667,0.0655271
3.13333,0.0660499
3.2,0.0663035
3.26667,0.066721
3.33333,0.0668927
3.4,0.0668927
3.46667,0.068114
3.53333,0.0690777
3.6,0.0705097
3.66667,0.0727766
3.73333,0.0740486
3.8,0.0755352
3.86667,0.0772403
3.93333,0.0784928
4,0.0807246
4.06667,0.080315
4.13333,0.0804203
4.2,0.0800847
4.26667,0.0786567
4.33333,0.0780675
4.4,0.0775408
4.46667,0.077412
4.53333,0.0774549
4.6,0.0749226
4.66667,0.0755821
4.73333,0.0764639
4.8,0.0761946
4.86667,0.0761283
4.93333,0.0756523
5,0.075067
5.06667,0.0745832
5.13333,0.0740603
5.2,0.0735726
5.26667,0.0746924
5.33333,0.075145
5.4,0.0763585
5.46667,0.0771428
5.53333,0.0772676
5.6,0.0802642
5.66667,0.08401
5.73333,0.0855278
5.8,0.0894413
5.86667,0.0920438
5.93333,0.0930388
6,0.0938738
6.06667,0.0943576
6.13333,0.0953565
6.2,0.0959807
6.26667,0.0941937
6.33333,0.0941274
6.4,0.0953877
6.46667,0.0952667
6.53333,0.0957505
6.6,0.0958442
6.66667,0.0960276
6.73333,0.0964099
6.8,0.0974946
6.86667,0.0968586
6.93333,0.0969289
7,0.096605
7.06667,0.0966558
7.13333,0.0970967
7.2,0.0989149
7.26667,0.101435
7.33333,0.103012
7.4,0.105201
7.46667,0.108096
7.53333,0.108794
7.6,0.110886
7.66667,0.111225
7.73333,0.111725
7.8,0.11263
7.86667,0.112571
7.93333,0.111849
8,0.11192
8.06667,0.11229
8.13333,0.112442
8.2,0.113176
8.26667,0.113231
8.33333,0.113781
8.4,0.113395
8.46667,0.112298
8.53333,0.112599
8.6,0.112314
8.66667,0.112247
8.73333,0.111927
8.8,0.11135
8.86667,0.111159
8.93333,0.110827
9,0.111217
9.06667,0.111147
9.13333,0.11133
9.2,0.11199
9.26667,0.111709
9.33333,0.111838
9.4,0.11149
9.46667,0.111869
9.53333,0.112216
9.6,0.112591
9.66667,0.112712
9.73333,0.112735
9.8,0.113262
9.86667,0.113254
9.93333,0.11327
10,0.112883
10.0667,0.11165
10.1333,0.111873
10.2,0.111014
10.2667,0.110503
10.3333,0.110507
10.4,0.108174
10.4667,0.108264
10.5333,0.10787
10.6,0.108396
10.6667,0.107901
10.7333,0.108131
10.8,0.10785
10.8667,0.106652
10.9333,0.107062
11,0.106726
11.0667,0.106227
11.1333,0.106172
11.2,0.105216
11.2667,0.101755
11.3333,0.101709
11.4,0.101482
11.4667,0.101646
11.5333,0.101631
11.6,0.101713
11.6667,0.101568
11.7333,0.10227
11.8,0.101794
11.8667,0.101549
11.9333,0.101908
12,0.102146
12.0667,0.102071
12.1333,0.102196
12.2,0.101771
12.2667,0.102516
12.3333,0.102906
12.4,0.101958
12.4667,0.101705
12.5333,0.102146
12.6,0.102594
12.6667,0.102438
12.7333,0.102501
12.8,0.101857
12.8667,0.101943
12.9333,0.102095
13,0.10238
13.0667,0.102579
13.1333,0.102399
13.2,0.102512
13.2667,0.102731
13.3333,0.10293
13.4,0.103074
13.4667,0.103297
13.5333,0.103624
13.6,0.103773
13.6667,0.103246
13.7333,0.103386
13.8,0.1035
13.8667,0.103164
13.9333,0.103386
14,0.104292
14.0667,0.104221
14.1333,0.104097
14.2,0.103753
14.2667,0.103722
14.3333,0.103468
14.4,0.103066
14.4667,0.102992
14.5333,0.10334
14.6,0.101681
14.6667,0.102142
14.7333,0.102754
14.8,0.10135
14.8667,0.101229
14.9333,0.101471
15,0.101521
15.0667,0.101502
15.1333,0.101787
15.2,0.101673
15.2667,0.101564
15.3333,0.101549
15.4,0.101662
15.4667,0.102349
15.5333,0.102856
15.6,0.103792
15.6667,0.103492
15.7333,0.103234
15.8,0.102391
15.8667,0.100979
15.9333,0.100499
16,0.0998084
16.0667,0.0996367
16.1333,0.0996641
16.2,0.0996289
16.2667,0.0980916
16.3333,0.0984857
16.4,0.0987627
16.4667,0.0990359
16.5333,0.098595
16.6,0.098474
16.6667,0.0983804
16.7333,0.0981384
16.8,0.0983062
16.8667,0.0981775
16.9333,0.0982828
17,0.0986457
17.0667,0.0988408
17.1333,0.0987393
17.2,0.0988798
17.2667,0.0990944
17.3333,0.0994534
17.4,0.0996484
17.4667,0.0997499
17.5333,0.0996875
17.6,0.0996602
17.6667,0.0995275
17.7333,0.0995392
17.8,0.0994807
17.8667,0.0994807
17.9333,0.098076
18,0.0981228
18.0667,0.0982906
18.1333,0.0981892
18.2,0.0981658
18.2667,0.0983413
18.3333,0.0985872
18.4,0.0992544
18.4667,0.101833
18.5333,0.102391
18.6,0.104143
18.6667,0.106305
18.7333,0.107105
18.8,0.108268
18.8667,0.110449
18.9333,0.111444
19,0.113473
19.0667,0.115228
19.1333,0.115025
19.2,0.114748
19.2667,0.114011
19.3333,0.113984
19.4,0.113539
19.4667,0.113098
19.5333,0.112821
19.6,0.110398
19.6667,0.108841
19.7333,0.107991
19.8,0.106278
19.8667,0.104061
19.9333,0.103406
20,0.101685
20.0667,0.100386
20.1333,0.0992388
20.2,0.0984545
20.2667,0.0982165
20.3333,0.0984623
20.4,0.0983101
20.4667,0.0991685
20.5333,0.0993051
20.6,0.0991451
20.6667,0.0999255
20.7333,0.100206
20.8,0.0998943
20.8667,0.0999918
20.9333,0.100082
21,0.100398
21.0667,0.0998591
21.1333,0.0994924
21.2,0.0988447
21.2667,0.0966948
21.3333,0.0967611
21.4,0.0970654
21.4667,0.0971513
21.5333,0.0971513
21.6,0.0970576
21.6667,0.0973347
21.7333,0.0971786
21.8,0.0976858
21.8667,0.0980565
21.9333,0.0978926
22,0.098158
22.0667,0.0979199
22.1333,0.0979902
22.2,0.0980019
22.2667,0.097998
22.3333,0.0979199
22.4,0.0976351
22.4667,0.0977912
22.5333,0.0980721
22.6,0.0991451
22.6667,0.099469
22.7333,0.0996875
22.8,0.100203
22.8667,0.101576
22.9333,0.102181
23,0.102957
23.0667,0.103823
23.1333,0.104463
23.2,0.1041
23.2667,0.1035
23.3333,0.103074
23.4,0.102095
23.4667,0.101634
23.5333,0.101506
23.6,0.101642
23.6667,0.101794
23.7333,0.101849
23.8,0.102173
23.8667,0.102333
23.9333,0.102224
24,0.102512
24.0667,0.10275
24.1333,0.102879
24.2,0.103024
24.2667,0.103039
24.3333,0.103008
24.4,0.103102
24.4667,0.102977
24.5333,0.103265
24.6,0.103948
24.6667,0.104003
24.7333,0.104151
24.8,0.104448
24.8667,0.104463
24.9333,0.104323
25,0.104428
25.0667,0.104202
25.1333,0.104413
25.2,0.104229
25.2667,0.104311
25.3333,0.104522
25.4,0.104471
25.4667,0.104502
25.5333,0.10517
25.6,0.105688
25.6667,0.107276
25.7333,0.107581
25.8,0.107538
25.8667,0.107628
25.9333,0.108236
26,0.108759
26.0667,0.109196
26.1333,0.10975
26.2,0.109934
26.2667,0.109606
26.3333,0.109641
26.4,0.110737
26.4667,0.111338
26.5333,0.112068
26.6,0.112302
26.6667,0.112454
26.7333,0.112275
26.8,0.112848
26.8667,0.113422
26.9333,0.113796
27,0.114655
27.0667,0.115771
27.1333,0.116766
27.2,0.119411
27.2667,0.122521
27.3333,0.124499
27.4,0.127679
27.4667,0.130399
27.5333,0.132217
27.6,0.134991
27.6667,0.137036
27.7333,0.138081
27.8,0.140305
27.8667,0.142923
27.9333,0.141749
28,0.144289
28.0667,0.146431
28.1333,0.147676
28.2,0.150544
28.2667,0.1545
28.3333,0.156112
28.4,0.159256
28.4667,0.161933
28.5333,0.162561
28.6,0.163771
28.6667,0.165285
28.7333,0.165913
28.8,0.167478
28.8667,0.168266
28.9333,0.168851
29,0.170634
29.0667,0.171855
29.1333,0.171282
29.2,0.171461
29.2667,0.172406
29.3333,0.172948
29.4,0.173748
29.4667,0.174216
29.5333,0.174926
29.6,0.166861
29.6667,0.168449
29.7333,0.168921
29.8,0.170314
29.8667,0.171372
29.9333,0.171629
30,0.171465
30.0667,0.172889
30.1333,0.173225
30.2,0.174637
30.2667,0.175898
30.3333,0.176276
30.4,0.177248
30.4667,0.178009
30.5333,0.17811
30.6,0.178317
30.6667,0.178851
30.7333,0.178481
30.8,0.178426
30.8667,0.178531
30.9333,0.179718
31,0.179562
31.0667,0.179296
31.1333,0.179214
31.2,0.179448
31.2667,0.179093
31.3333,0.179284
31.4,0.17866
31.4667,0.179534
31.5333,0.179819
31.6,0.180326
31.6667,0.179917
31.7333,0.18001
31.8,0.180475
31.8667,0.180264
31.9333,0.180303
32,0.181325
32.0667,0.181009
32.1333,0.180603
32.2,0.181364
32.2667,0.182094
32.3333,0.182172
32.4,0.183046
32.4667,0.183299
32.5333,0.182952
32.6,0.18241
32.6667,0.182937
32.7333,0.182461
32.8,0.182726
32.8667,0.182589
32.9333,0.180798
33,0.180779
33.0667,0.18115
33.1333,0.181083
33.2,0.181341
33.2667,0.181388
33.3333,0.182445
33.4,0.186238
33.4667,0.189417
33.5333,0.19177
33.6,0.194806
33.6667,0.197779
33.7333,0.198977
33.8,0.201236
33.8667,0.203901
33.9333,0.205922
34,0.209168
34.0667,0.210702
34.1333,0.211482
34.2,0.21428
34.2667,0.216297
34.3333,0.217109
34.4,0.220882
34.4667,0.222844
34.5333,0.224717
34.6,0.231881
34.6667,0.234308
34.7333,0.236161
34.8,0.237519
34.8667,0.239353
34.9333,0.241191
35,0.243071
35.0667,0.244137
35.1333,0.244558
35.2,0.245163
35.2667,0.244535
35.3333,0.244265
35.4,0.243504
35.4667,0.24265
35.5333,0.242966
35.6,0.24425
35.6667,0.243797
35.7333,0.244211
35.8,0.243735
35.8667,0.243251
35.9333,0.243434
36,0.24368
36.0667,0.244862
36.1333,0.24549
36.2,0.245003
36.2667,0.240539
36.3333,0.240804
36.4,0.240122
36.4667,0.240469
36.5333,0.239431
36.6,0.238553
36.6667,0.238116
36.7333,0.23842
36.8,0.237972
36.8667,0.237281
36.9333,0.236782
37,0.236864
37.0667,0.236434
37.1333,0.2367
37.2,0.236013
37.2667,0.235346
37.3333,0.235092
37.4,0.234823
37.4667,0.234729
37.5333,0.233879
37.6,0.232685
37.6667,0.231897
37.7333,0.232708
37.8,0.232505
37.8667,0.232985
37.9333,0.229072
38,0.229208
38.0667,0.230781
38.1333,0.230628
38.2,0.233586
38.2667,0.236134
38.3333,0.237769
38.4,0.23947
38.4667,0.24176
38.5333,0.242966
38.6,0.244441
38.6667,0.246669
38.7333,0.248308
38.8,0.250918
38.8667,0.253158
38.9333,0.254266
39,0.255783
39.0667,0.257715
39.1333,0.258515
39.2,0.260208
39.2667,0.262046
39.3333,0.262881
39.4,0.264641
39.4667,0.266381
39.5333,0.266997
39.6,0.270275
39.6667,0.272284
39.7333,0.274255
39.8,0.276096
39.8667,0.278133
39.9333,0.280408
40,0.281375
40.0667,0.282718
40.1333,0.283361
40.2,0.284037
40.2667,0.286186
40.3333,0.287856
40.4,0.291083
40.4667,0.293623
40.5333,0.296019
40.6,0.299577
40.6667,0.302445
40.7333,0.303834
40.8,0.306905
40.8667,0.309629
40.9333,0.31138
41,0.313667
41.0667,0.31547
41.1333,0.316441
41.2,0.317943
41.2667,0.325708
41.3333,0.326746
41.4,0.328802
41.4667,0.330254
41.5333,0.331795
41.6,0.333515
41.6667,0.335025
41.7333,0.33634
41.8,0.338627
41.8667,0.340621
41.9333,0.34183
42,0.344952
42.0667,0.346836
42.1333,0.34757
42.2,0.349466
42.2667,0.350594
42.3333,0.351315
42.4,0.352467
42.4667,0.353395
42.5333,0.354055
42.6,0.354628
42.6667,0.354921
42.7333,0.354285
42.8,0.355092
42.8667,0.354597
42.9333,0.352178
43,0.352728
43.0667,0.352388
43.1333,0.353473
43.2,0.353036
43.2667,0.354613
43.3333,0.355537
43.4,0.357597
43.4667,0.359143
43.5333,0.359872
43.6,0.361281
43.6667,0.362533
43.7333,0.362947
43.8,0.362818
43.8667,0.363345
43.9333,0.363946
44,0.363856
44.0667,0.364515
44.1333,0.365175
44.2,0.36578
44.2667,0.365869
44.3333,0.366018
44.4,0.366704
44.4667,0.367005
44.5333,0.367368
44.6,0.364125
44.6667,0.364414
44.7333,0.365007
44.8,0.365019
44.8667,0.364952
44.9333,0.364968
45,0.365245
45.0667,0.365401
45.1333,0.366166
45.2,0.366455
45.2667,0.367274
45.3333,0.367465
45.4,0.367758
45.4667,0.368312
45.5333,0.368085
45.6,0.368519
45.6667,0.368636
45.7333,0.368515
45.8,0.368483
45.8667,0.368335
45.9333,0.368718
46,0.368004
46.0667,0.368292
46.1333,0.368284
46.2,0.368526
46.2667,0.364
46.3333,0.364617
46.4,0.365506
46.4667,0.366111
46.5333,0.366267
46.6,0.36617
46.6667,0.365783
46.7333,0.365678
46.8,0.36578
46.8667,0.365893
46.9333,0.366037
47,0.36624
47.0667,0.365733
47.1333,0.365939
47.2,0.366057
47.2667,0.365932
47.3333,0.36624
47.4,0.366591
47.4667,0.36727
47.5333,0.367555
47.6,0.367321
47.6667,0.367703
47.7333,0.367754
47.8,0.367902
47.8667,0.367598
47.9333,0.364422
48,0.364484
48.0667,0.365206
48.1333,0.365756
48.2,0.365795
48.2667,0.366892
48.3333,0.367422
48.4,0.367422
48.4667,0.366864
48.5333,0.366903
48.6,0.367481
48.6667,0.367348
48.7333,0.367422
48.8,0.366856
48.8667,0.36631
48.9333,0.366209
49,0.365405
49.0667,0.364937
49.1333,0.36512
49.2,0.365292
49.2667,0.365467
49.3333,0.364968
49.4,0.365003
49.4667,0.364785
49.5333,0.365007
49.6,0.360075
49.6667,0.360442
49.7333,0.361289
49.8,0.36155
49.8667,0.361363
49.9333,0.361378
50,0.360446
50.0667,0.360703
50.1333,0.360809
50.2,0.360719
50.2667,0.360621
50.3333,0.360547
50.4,0.360961
50.4667,0.36146
50.5333,0.361449
50.6,0.36155
50.6667,0.361843
50.7333,0.36153
50.8,0.361378
50.8667,0.361191
50.9333,0.36109
51,0.361
51.0667,0.361175
51.1333,0.361109
51.2,0.361082
51.2667,0.356879
51.3333,0.357102
51.4,0.357332
51.4667,0.357391
51.5333,0.357461
51.6,0.357976
51.6667,0.357999
51.7333,0.358538
51.8,0.35819
51.8667,0.35883
51.9333,0.358928
52,0.359314
52.0667,0.359478
52.1333,0.359736
52.2,0.359931
52.2667,0.359825
52.3333,0.359775
52.4,0.359314
52.4667,0.359342
52.5333,0.359443
52.6,0.360699
52.6667,0.361928
52.7333,0.362354
52.8,0.362799
52.8667,0.364238
52.9333,0.359505
53,0.361207
53.0667,0.363555
53.1333,0.364843
53.2,0.366295
53.2667,0.368039
53.3333,0.368753
53.4,0.369993
53.4667,0.371453
53.5333,0.372268
53.6,0.373661
53.6667,0.373876
53.7333,0.37411
53.8,0.374481
53.8667,0.375538
53.9333,0.376416
54,0.377891
54.0667,0.379752
54.1333,0.381808
54.2,0.385737
54.2667,0.388305
54.3333,0.389994
54.4,0.392437
54.4667,0.394251
54.5333,0.39532
54.6,0.401579
54.6667,0.401762
54.7333,0.402554
54.8,0.4039
54.8667,0.404946
54.9333,0.406249
55,0.407716
55.0667,0.409043
55.1333,0.410073
55.2,0.410303
55.2667,0.411232
55.3333,0.412531
55.4,0.412675
55.4667,0.412945
55.5333,0.412999
55.6,0.413206
55.6667,0.412746
55.7333,0.412851
55.8,0.41305
55.8667,0.413428
55.9333,0.413717
56,0.414072
56.0667,0.414669
56.1333,0.414876
56.2,0.415235
56.2667,0.412543
56.3333,0.412945
56.4,0.41337
56.4667,0.413542
56.5333,0.413237
56.6,0.413397
56.6667,0.413136
56.7333,0.412863
56.8,0.413237
56.8667,0.413249
56.9333,0.413635
57,0.413655
57.0667,0.413627
57.1333,0.413764
57.2,0.413167
57.2667,0.413132
57.3333,0.413027
57.4,0.413077
57.4667,0.413382
57.5333,0.41362
57.6,0.41392
57.6667,0.413585
57.7333,0.413265
57.8,0.413354
57.8667,0.413163
57.9333,0.409749
58,0.410155
58.0667,0.410662
58.1333,0.410783
58.2,0.410658
58.2667,0.411169
58.3333,0.411282
58.4,0.411275
58.4667,0.41138
58.5333,0.411442
58.6,0.409979
58.6667,0.410451
58.7333,0.410803
58.8,0.411025
58.8667,0.410791
58.9333,0.410943
59,0.411442
59.0667,0.411243
59.1333,0.411333
59.2,0.411969
59.2667,0.411997
59.3333,0.411798
59.4,0.412
59.4667,0.412379
59.5333,0.413089
59.6,0.413233
59.6667,0.413643
59.7333,0.413784
59.8,0.414361
59.8667,0.414767
59.9333,0.415091
60,0.415231
60.0667,0.414849
60.1333,0.414864
60.2,0.414962
60.2667,0.411563
60.3333,0.411716
60.4,0.412504
60.4667,0.412613
60.5333,0.412792
60.6,0.413112
60.6667,0.413124
60.7333,0.412871
60.8,0.412578
60.8667,0.411688
60.9333,0.411185
61,0.409843
61.0667,0.408797
61.1333,0.407533
61.2,0.406897
61.2667,0.406756
61.3333,0.406799
61.4,0.407018
61.4667,0.407225
61.5333,0.407264
61.6,0.407322
61.6667,0.406983
61.7333,0.407022
61.8,0.407143
61.8667,0.406979
61.9333,0.405289
62,0.40573
62.0667,0.405929
62.1333,0.406417
62.2,0.4063
62.2667,0.406823
62.3333,0.407092
62.4,0.408571
62.4667,0.409714
62.5333,0.41074
62.6,0.412051
62.6667,0.413272
62.7333,0.4136
62.8,0.413647
62.8667,0.413413
62.9333,0.413421
63,0.413456
63.0667,0.413561
63.1333,0.413245
63.2,0.413308
63.2667,0.413362
63.3333,0.413479
63.4,0.413569
63.4667,0.413647
63.5333,0.413639
63.6,0.409546
63.6667,0.410194
63.7333,0.410607
63.8,0.410584
63.8667,0.410658
63.9333,0.411029
64,0.411224
64.0667,0.411423
64.1333,0.411485
64.2,0.411587
64.2667,0.411801
64.3333,0.412149
64.4,0.412297
64.4667,0.412274
64.5333,0.412379
64.6,0.412484
