Time(s),Queue Density,Dynamic Density
0.0666667,0.0417733,0
0.133333,0.0408583,0
0.2,0.0402601,0
0.266667,0.0409375,0
0.333333,0.0435066,0
0.4,0.0453982,0
0.466667,0.046973,0
0.533333,0.0477824,0
0.6,0.0479232,0
0.666667,0.0495773,0
0.733333,0.0510729,0
0.8,0.0512665,0
0.866667,0.0522343,0
0.933333,0.0532373,0
1,0.0534396,0
1.06667,0.0542666,0
1.13333,0.0535188,0
1.2,0.0538003,0
1.26667,0.054557,0
1.33333,0.0544338,0
1.4,0.0547681,0
1.46667,0.0550057,0
1.53333,0.0552608,0
1.6,0.0553312,0
1.66667,0.0551025,0
1.73333,0.0574603,0
1.8,0.0579354,0
1.86667,0.0600646,0
1.93333,0.0616218,0
2,0.0614283,0
2.06667,0.0618506,0
2.13333,0.061833,0
2.2,0.0614195,0
2.26667,0.0617274,0
2.33333,0.0618858,0
2.4,0.0622905,0
2.46667,0.0617538,0
2.53333,0.0620178,0
2.6,0.0617714,0
2.66667,0.0610148,0
2.73333,0.0607156,0
2.8,0.0606277,0
2.86667,0.0610412,0
2.93333,0.0616306,0
3,0.0599238,0
3.06667,0.0604693,0
3.13333,0.0608828,0
3.2,0.0613315,0
3.26667,0.0611555,0
3.33333,0.0620178,0
3.4,0.0618594,0
3.46667,0.061789,0
3.53333,0.0628008,0
3.6,0.0644108,0
3.66667,0.065713,0
3.73333,0.0675606,0
3.8,0.0684052,0
3.86667,0.0701032,0
3.93333,0.0723555,0
4,0.0733937,0
4.06667,0.0755668,0
4.13333,0.0758396,0
4.2,0.0762971,0
4.26667,0.0751445,0
4.33333,0.0736312,0
4.4,0.0734025,0
4.46667,0.0725403,0
4.53333,0.0722499,0
4.6,0.0721796,0
4.66667,0.069065,0
4.73333,0.0696457,0
4.8,0.0707455,0
4.86667,0.0708334,0
4.93333,0.070851,0
5,0.0705519,0
5.06667,0.0699712,0
5.13333,0.0691178,0
5.2,0.0689594,0
5.26667,0.0686075,0
5.33333,0.0695313,0
5.4,0.0698041,0
5.46667,0.0706311,0
5.53333,0.0714053,0
5.6,0.0715461,0
5.66667,0.0738424,0
5.73333,0.0773352,0
5.8,0.0789717,0
5.86667,0.0825085,0
5.93333,0.0854911,0
6,0.0858518,0
6.06667,0.0868548,0
6.13333,0.0871891,0
6.2,0.0882273,0
6.26667,0.0892215,0
6.33333,0.0875586,0
6.4,0.0881217,0
6.46667,0.089679,0
6.53333,0.0895118,0
6.6,0.0898373,0
6.66667,0.0895382,0
6.73333,0.0892742,0
6.8,0.089635,0
6.86667,0.0905852,0
6.93333,0.0896086,0
7,0.089679,0
7.06667,0.0891775,0
7.13333,0.0891247,0
7.2,0.088676,0
7.26667,0.0904356,0
7.33333,0.0933918,0
7.4,0.0950018,0
7.46667,0.0978612,0
7.53333,0.100228,0
7.6,0.101028,0
7.66667,0.102771,0
7.73333,0.103738,0
7.8,0.104055,0
7.86667,0.104477,0
7.93333,0.104706,0
8,0.10453,0
8.06667,0.104407,0
8.13333,0.103844,0
8.2,0.104469,0
8.26667,0.104636,0
8.33333,0.104548,0
8.4,0.105331,0
8.46667,0.104759,0
8.53333,0.103861,0
8.6,0.104002,0
8.66667,0.10351,0
8.73333,0.103043,0
8.8,0.103078,0
8.86667,0.101952,0
8.93333,0.102419,0
9,0.101864,0
9.06667,0.101442,0
9.13333,0.101539,0
9.2,0.102207,0
9.26667,0.102674,0
9.33333,0.10241,0
9.4,0.102427,0
9.46667,0.1019,0
9.53333,0.102331,0
9.6,0.102674,0
9.66667,0.10329,0
9.73333,0.103193,0
9.8,0.103474,0
9.86667,0.103932,0
9.93333,0.104416,0
10,0.104469,0
10.0667,0.103562,0
10.1333,0.102533,0
10.2,0.102419,0
10.2667,0.101169,0
10.3333,0.100404,0
10.4,0.100245,0
10.4667,0.0983099,0
10.5333,0.0977996,0
10.6,0.0981603,0
10.6667,0.0979052,0
10.7333,0.0974037,0
10.8,0.0978084,0
10.8667,0.0976764,0
10.9333,0.0970782,0
11,0.096779,0
11.0667,0.0965151,0
11.1333,0.096735,0
11.2,0.0967438,0
11.2667,0.0961632,0
11.3333,0.0919489,0
11.4,0.0920456,0
11.4667,0.0921424,0
11.5333,0.0922744,0
11.6,0.0922744,0
11.6667,0.0926967,0
11.7333,0.0926087,0
11.8,0.0928903,0
11.8667,0.0927671,0
11.9333,0.0927847,0
12,0.0926351,0
12.0667,0.0932598,0
12.1333,0.092987,0
12.2,0.0932686,0
12.2667,0.0931982,0
12.3333,0.0941308,0
12.4,0.0947731,0
12.4667,0.0944475,0
12.5333,0.0938932,0
12.6,0.0944475,0
12.6667,0.0950282,0
12.7333,0.0947115,0
12.8,0.0945619,0
12.8667,0.0938053,0
12.9333,0.0938229,0
13,0.0942804,0
13.0667,0.0944739,0
13.1333,0.0947379,0
13.2,0.0946851,0
13.2667,0.0945707,0
13.3333,0.0950458,0
13.4,0.0948962,0
13.4667,0.0950634,0
13.5333,0.0955473,0
13.6,0.0955825,0
13.6667,0.0957584,0
13.7333,0.0950898,0
13.8,0.0952833,0
13.8667,0.0955385,0
13.9333,0.095169,0
14,0.0956617,0
14.0667,0.096128,0
14.1333,0.0961104,0
14.2,0.0962599,0
14.2667,0.0955913,0
14.3333,0.0954945,0
14.4,0.095125,0
14.4667,0.0949666,0
14.5333,0.0950282,0
14.6,0.0953801,0
14.6667,0.0957496,0
14.7333,0.0961719,0
14.8,0.0961456,0
14.8667,0.0944915,0
14.9333,0.0944651,0
15,0.0947027,0
15.0667,0.0943771,0
15.1333,0.0944739,0
15.2,0.0949226,0
15.2667,0.0948786,0
15.3333,0.0945179,0
15.4,0.0945267,0
15.4667,0.094817,0
15.5333,0.0953625,0
15.6,0.095776,0
15.6667,0.0966998,0
15.7333,0.095996,0
15.8,0.0957672,0
15.8667,0.0947291,0
15.9333,0.0934797,0
16,0.0927055,0
16.0667,0.0920456,0
16.1333,0.0916409,0
16.2,0.0916585,0
16.2667,0.0918785,0
16.3333,0.0904268,0
16.4,0.0903036,0
16.4667,0.0910075,0
16.5333,0.0914738,0
16.6,0.0910251,0
16.6667,0.0911834,0
16.7333,0.0910691,0
16.8,0.0905324,0
16.8667,0.090594,0
16.9333,0.090462,0
17,0.0904004,0
17.0667,0.0907699,0
17.1333,0.0908931,0
17.2,0.0909283,0
17.2667,0.0910163,0
17.3333,0.0911042,0
17.4,0.0913858,0
17.4667,0.0916409,0
17.5333,0.0916761,0
17.6,0.0915969,0
17.6667,0.0915969,0
17.7333,0.0917289,0
17.8,0.0918697,0
17.8667,0.0918345,0
17.9333,0.0917553,0
18,0.0909459,0
18.0667,0.0906292,0
18.1333,0.0908491,0
18.2,0.0907083,0
