Time(s),Queue Density,Dynamic Density
0.0666667,0.0371861,0
0.133333,0.0385361,0
0.2,0.0364743,0
0.266667,0.0372598,0
0.333333,0.0387816,0
0.4,0.0420706,0
0.466667,0.0435679,0
0.533333,0.0454088,0
0.6,0.0450406,0
0.666667,0.0465624,0
0.733333,0.0478388,0
0.8,0.0477161,0
0.866667,0.0481824,0
0.933333,0.0492379,0
1,0.0504651,0
1.06667,0.0502197,0
1.13333,0.0494342,0
1.2,0.0489924,0
1.26667,0.0494342,0
1.33333,0.0495815,0
1.4,0.0489924,0
1.46667,0.0501951,0
1.53333,0.049876,0
1.6,0.0507351,0
1.66667,0.0505633,0
1.73333,0.0530178,0
1.8,0.0521342,0
1.86667,0.0551533,0
1.93333,0.055816,0
2,0.056086,0
2.06667,0.0570187,0
2.13333,0.0565033,0
2.2,0.0573378,0
2.26667,0.0564296,0
2.33333,0.0572642,0
2.4,0.0573133,0
2.46667,0.0560615,0
2.53333,0.0566505,0
2.6,0.0571169,0
2.66667,0.056356,0
2.73333,0.0554969,0
2.8,0.0551778,0
2.86667,0.0562578,0
2.93333,0.0561596,0
3,0.0552269,0
3.06667,0.0558651,0
3.13333,0.0556196,0
3.2,0.0561351,0
3.26667,0.0566015,0
3.33333,0.0568715,0
3.4,0.0562824,0
3.46667,0.0575587,0
3.53333,0.0590805,0
3.6,0.0587124,0
3.66667,0.0629341,0
3.73333,0.0625414,0
3.8,0.0646032,0
3.86667,0.0655114,0
3.93333,0.068825,0
4,0.0703959,0
4.06667,0.0716968,0
4.13333,0.073685,0
4.2,0.0732432,0
4.26667,0.072335,0
4.33333,0.0702486,0
4.4,0.070175,0
4.46667,0.069095,0
4.53333,0.0683096,0
4.6,0.0688496,0
4.66667,0.0656341,0
4.73333,0.0668614,0
4.8,0.0669596,0
4.86667,0.0673768,0
4.93333,0.0681868,0
5,0.0669105,0
5.06667,0.0666405,0
5.13333,0.0652659,0
5.2,0.0643578,0
5.26667,0.063916,0
5.33333,0.0652905,0
5.4,0.0657569,0
5.46667,0.0664196,0
5.53333,0.0672787,0
5.6,0.0672296,0
5.66667,0.0686777,0
5.73333,0.0724086,0
5.8,0.0738568,0
5.86667,0.0779804,0
5.93333,0.0799931,0
6,0.0808031,0
6.06667,0.081564,0
6.13333,0.0813186,0
6.2,0.0821531,0
6.26667,0.0838467,0
6.33333,0.0825458,0
6.4,0.0840676,0
6.46667,0.0858349,0
6.53333,0.0861295,0
6.6,0.0857613,0
6.66667,0.0852949,0
6.73333,0.0850004,0
6.8,0.0846076,0
6.86667,0.0855158,0
6.93333,0.0843867,0
7,0.0839204,0
7.06667,0.0833558,0
7.13333,0.0835767,0
7.2,0.0836258,0
7.26667,0.0852458,0
7.33333,0.0877985,0
7.4,0.0899585,0
7.46667,0.0916767,0
7.53333,0.0936403,0
7.6,0.0948185,0
7.66667,0.096733,0
7.73333,0.0976412,0
7.8,0.0987703,0
7.86667,0.0975185,0
7.93333,0.0981321,0
8,0.0982794,0
8.06667,0.0969539,0
8.13333,0.0966839,0
8.2,0.0967576,0
8.26667,0.0970276,0
8.33333,0.0973467,0
8.4,0.0975676,0
8.46667,0.0966348,0
8.53333,0.0960212,0
8.6,0.0960948,0
8.66667,0.0956285,0
8.73333,0.0956039,0
8.8,0.0947203,0
8.86667,0.0947939,0
8.93333,0.0943767,0
9,0.0932721,0
9.06667,0.0936894,0
9.13333,0.0944012,0
9.2,0.0927567,0
9.26667,0.0932476,0
9.33333,0.0935912,0
9.4,0.093174,0
9.46667,0.0939839,0
9.53333,0.0942049,0
9.6,0.0946958,0
9.66667,0.0951376,0
9.73333,0.0940821,0
9.8,0.0942785,0
9.86667,0.0935421,0
9.93333,0.0938612,0
10,0.0944258,0
10.0667,0.0927321,0
10.1333,0.0925358,0
10.2,0.0914803,0
10.2667,0.0917503,0
10.3333,0.0879703,0
10.4,0.0886331,0
10.4667,0.0875285,0
10.5333,0.088584,0
10.6,0.0891731,0
10.6667,0.0887558,0
10.7333,0.0892713,0
10.8,0.0895903,0
10.8667,0.0890994,0
