Frame No.,Queue Density
21.2,0.0989266
21.2667,0.0968704
21.3333,0.0969484
21.4,0.0971981
21.4667,0.0973191
21.5333,0.0973269
21.6,0.0972449
21.6667,0.0975376
21.7333,0.0973659
21.8,0.0978731
21.8667,0.0982477
21.9333,0.0980799
22,0.0983491
22.0667,0.0981267
22.1333,0.0982009
22.2,0.0982009
22.2667,0.0981736
22.3333,0.0980877
22.4,0.0977912
22.4667,0.0979395
22.5333,0.0982516
22.6,0.0993168
22.6667,0.0996055
22.7333,0.0998357
22.8,0.100359
22.8667,0.101736
22.9333,0.102267
23,0.103074
23.0667,0.103952
23.1333,0.104612
23.2,0.104249
23.2667,0.103644
23.3333,0.10323
23.4,0.102216
23.4667,0.101771
23.5333,0.101681
23.6,0.101763
23.6667,0.101966
23.7333,0.102064
23.8,0.102313
23.8667,0.102481
23.9333,0.102395
24,0.102668
24.0667,0.102891
24.1333,0.103043
24.2,0.103195
24.2667,0.103195
24.3333,0.103144
24.4,0.103254
24.4667,0.103215
24.5333,0.103468
24.6,0.104077
24.6667,0.104061
24.7333,0.104311
24.8,0.104549
24.8667,0.104623
24.9333,0.104467
25,0.104569
25.0667,0.10435
25.1333,0.104561
25.2,0.104354
25.2667,0.104448
25.3333,0.104697
25.4,0.104639
25.4667,0.104631
25.5333,0.10529
25.6,0.105833
25.6667,0.107397
25.7333,0.107729
25.8,0.107702
25.8667,0.107764
25.9333,0.10842
26,0.108943
26.0667,0.10938
26.1333,0.109926
26.2,0.110199
26.2667,0.109719
26.3333,0.109817
26.4,0.110913
26.4667,0.111549
26.5333,0.112228
26.6,0.112485
26.6667,0.112599
26.7333,0.112454
26.8,0.113051
26.8667,0.113562
26.9333,0.113921
27,0.114866
27.0667,0.115939
27.1333,0.116816
27.2,0.11952
27.2667,0.122665
27.3333,0.124558
27.4,0.127777
27.4667,0.13052
27.5333,0.13233
27.6,0.135081
27.6667,0.13711
27.7333,0.13814
27.8,0.140438
27.8667,0.143017
27.9333,0.141733
28,0.144274
28.0667,0.146447
28.1333,0.147668
28.2,0.150528
28.2667,0.154438
28.3333,0.156053
28.4,0.15926
28.4667,0.16189
28.5333,0.162499
28.6,0.163736
28.6667,0.165281
28.7333,0.16589
28.8,0.167497
28.8667,0.168238
28.9333,0.168824
29,0.170724
29.0667,0.171801
29.1333,0.171286
29.2,0.171442
29.2667,0.17248
29.3333,0.173003
29.4,0.17374
29.4667,0.174251
29.5333,0.174946
29.6,0.166865
29.6667,0.168578
29.7333,0.169062
29.8,0.170435
29.8667,0.171578
29.9333,0.171813
30,0.171614
30.0667,0.17301
30.1333,0.173252
30.2,0.174692
30.2667,0.175855
30.3333,0.176264
30.4,0.177376
30.4667,0.178149
30.5333,0.178254
30.6,0.178422
30.6667,0.178953
30.7333,0.178645
30.8,0.17857
30.8667,0.178727
30.9333,0.179815
31,0.179647
31.0667,0.179413
31.1333,0.179257
31.2,0.179534
31.2667,0.179175
31.3333,0.179433
31.4,0.178715
31.4667,0.179562
31.5333,0.179897
31.6,0.180354
31.6667,0.179952
31.7333,0.180143
31.8,0.180553
31.8667,0.180381
31.9333,0.180408
32,0.181512
32.0667,0.181122
32.1333,0.180619
32.2,0.181446
32.2667,0.182265
32.3333,0.18239
32.4,0.183186
32.4667,0.183381
32.5333,0.183073
32.6,0.182585
32.6667,0.183093
32.7333,0.182593
32.8,0.182862
32.8667,0.182722
32.9333,0.180954
33,0.180912
33.0667,0.181185
33.1333,0.181056
33.2,0.181298
33.2667,0.181407
33.3333,0.18248
33.4,0.186362
33.4667,0.189554
33.5333,0.191981
33.6,0.195024
33.6667,0.197962
33.7333,0.19916
33.8,0.201451
33.8667,0.204108
33.9333,0.206172
34,0.209375
34.0667,0.210885
34.1333,0.211681
34.2,0.21444
34.2667,0.216414
34.3333,0.217292
34.4,0.221081
34.4667,0.223024
34.5333,0.224811
34.6,0.231955
34.6667,0.234491
34.7333,0.236391
34.8,0.237726
34.8667,0.239673
34.9333,0.241487
35,0.243274
35.0667,0.244441
35.1333,0.244944
35.2,0.245358
35.2667,0.244808
35.3333,0.244523
35.4,0.243727
35.4667,0.242826
35.5333,0.243165
35.6,0.244453
35.6667,0.244101
35.7333,0.244359
35.8,0.243871
35.8667,0.243446
35.9333,0.243618
36,0.243879
36.0667,0.245057
36.1333,0.245576
36.2,0.245198
36.2667,0.240773
36.3333,0.240988
36.4,0.240254
36.4667,0.240641
36.5333,0.239618
36.6,0.238744
36.6667,0.238233
36.7333,0.238491
36.8,0.238237
36.8667,0.237363
36.9333,0.236942
37,0.237066
37.0667,0.236633
37.1333,0.236797
37.2,0.236114
37.2667,0.235525
37.3333,0.235077
37.4,0.234827
37.4667,0.234768
37.5333,0.233965
37.6,0.232763
37.6667,0.232119
37.7333,0.232817
37.8,0.232614
37.8667,0.233157
37.9333,0.229169
38,0.229399
38.0667,0.230929
38.1333,0.230734
38.2,0.233719
38.2667,0.236282
38.3333,0.237827
38.4,0.239556
38.4667,0.24178
