Frame No.,Queue Density
0,0.0450894
0.0666667,0.0435404
0.133333,0.0425922
0.2,0.0439266
0.266667,0.0467359
0.333333,0.048761
0.4,0.0507197
0.466667,0.0503724
0.533333,0.0509616
0.6,0.0530959
0.666667,0.0539465
0.733333,0.0539504
0.8,0.0554292
0.866667,0.0565139
0.933333,0.0567909
1,0.0565958
1.06667,0.0565841
1.13333,0.0571811
1.2,0.0580668
1.26667,0.0580824
1.33333,0.0583126
1.4,0.0587691
1.46667,0.0593037
1.53333,0.0594051
1.6,0.0590657
1.66667,0.0614536
1.73333,0.0619452
1.8,0.064259
1.86667,0.0656636
1.93333,0.0659407
2,0.0659134
2.06667,0.0659602
2.13333,0.0658314
2.2,0.0658626
2.26667,0.0661202
2.33333,0.0666391
2.4,0.0667405
2.46667,0.0661123
2.53333,0.0664479
2.6,0.0661241
2.66667,0.0658041
2.73333,0.0657027
2.8,0.0659953
2.86667,0.066128
2.93333,0.0640249
3,0.0647545
3.06667,0.0655193
3.13333,0.066128
3.2,0.066405
3.26667,0.0666937
3.33333,0.0668576
3.4,0.0670332
3.46667,0.0680047
3.53333,0.0691167
3.6,0.0706619
3.66667,0.0725542
3.73333,0.0739901
3.8,0.0756367
3.86667,0.0772598
3.93333,0.0785162
4,0.0807246
4.06667,0.0803579
4.13333,0.0804476
4.2,0.0800652
4.26667,0.0786489
4.33333,0.0781026
4.4,0.0776032
4.46667,0.077451
4.53333,0.0775681
4.6,0.0750436
4.66667,0.0756133
4.73333,0.0764912
4.8,0.0761985
4.86667,0.0761673
4.93333,0.0757849
5,0.0752036
5.06667,0.0746378
5.13333,0.0741345
5.2,0.0736546
5.26667,0.0747432
5.33333,0.0752153
5.4,0.0764366
5.46667,0.0772559
5.53333,0.0773184
5.6,0.0803423
5.66667,0.0841231
5.73333,0.0855824
5.8,0.0894803
5.86667,0.0921453
5.93333,0.0930895
6,0.0939674
6.06667,0.09442
6.13333,0.095376
6.2,0.09609
6.26667,0.0941898
6.33333,0.0942717
6.4,0.0954696
6.46667,0.0953174
6.53333,0.0958442
6.6,0.0958364
6.66667,0.0960822
6.73333,0.0963982
6.8,0.0975493
6.86667,0.0969211
6.93333,0.0969094
7,0.0967299
7.06667,0.0966597
7.13333,0.0971201
7.2,0.0989695
7.26667,0.101439
7.33333,0.103
7.4,0.105259
7.46667,0.108115
7.53333,0.108794
7.6,0.110893
7.66667,0.111182
7.73333,0.111748
7.8,0.112727
7.86667,0.112602
7.93333,0.111978
8,0.111974
8.06667,0.112275
8.13333,0.112509
8.2,0.113207
8.26667,0.113246
8.33333,0.113894
8.4,0.11334
8.46667,0.112419
8.53333,0.112739
8.6,0.112482
8.66667,0.112407
8.73333,0.111931
8.8,0.111346
8.86667,0.11119
8.93333,0.110851
9,0.111303
9.06667,0.111178
9.13333,0.111393
9.2,0.112107
9.26667,0.111861
9.33333,0.1119
9.4,0.111592
9.46667,0.111963
9.53333,0.112306
9.6,0.112583
9.66667,0.112626
9.73333,0.112727
9.8,0.11325
9.86667,0.113445
9.93333,0.113391
10,0.112973
10.0667,0.111674
10.1333,0.112009
10.2,0.111085
10.2667,0.110663
10.3333,0.110574
10.4,0.108182
10.4667,0.108318
10.5333,0.107901
10.6,0.108326
10.6667,0.107881
10.7333,0.108182
10.8,0.107838
10.8667,0.106722
10.9333,0.107031
11,0.106605
11.0667,0.106215
11.1333,0.106172
11.2,0.105318
11.2667,0.101736
11.3333,0.101748
11.4,0.101443
11.4667,0.101545
11.5333,0.101506
11.6,0.101619
11.6667,0.10149
11.7333,0.10229
11.8,0.101713
11.8667,0.101432
11.9333,0.101841
12,0.102142
12.0667,0.102013
12.1333,0.102165
12.2,0.101791
12.2667,0.102481
12.3333,0.102836
12.4,0.102009
12.4667,0.10174
12.5333,0.102196
12.6,0.102571
12.6667,0.102571
12.7333,0.102696
12.8,0.102114
12.8667,0.102114
12.9333,0.102267
13,0.102567
13.0667,0.102746
13.1333,0.10254
13.2,0.102653
13.2667,0.102895
13.3333,0.10307
13.4,0.103226
13.4667,0.10341
13.5333,0.103745
13.6,0.103866
13.6667,0.103343
13.7333,0.103503
13.8,0.103581
13.8667,0.103281
13.9333,0.103484
14,0.104346
14.0667,0.104288
14.1333,0.104159
14.2,0.103769
14.2667,0.103788
14.3333,0.103496
14.4,0.103094
14.4667,0.103024
14.5333,0.103375
14.6,0.101732
14.6667,0.102196
14.7333,0.10277
14.8,0.101373
14.8667,0.101264
14.9333,0.101486
15,0.10156
15.0667,0.101556
15.1333,0.10183
15.2,0.101759
15.2667,0.101607
15.3333,0.101631
15.4,0.101724
15.4667,0.102395
15.5333,0.102918
15.6,0.103784
15.6667,0.103492
15.7333,0.103238
15.8,0.102419
15.8667,0.101026
15.9333,0.100519
16,0.0998279
16.0667,0.0996523
16.1333,0.0996523
16.2,0.0995977
16.2667,0.0980838
16.3333,0.0985676
16.4,0.0988408
16.4667,0.0991256
16.5333,0.098712
16.6,0.098552
16.6667,0.0984467
16.7333,0.0982204
16.8,0.0983804
16.8667,0.0982672
16.9333,0.098353
17,0.0987354
17.0667,0.0989383
17.1333,0.0988408
17.2,0.0989578
17.2667,0.0991529
17.3333,0.0995275
17.4,0.0997538
17.4667,0.0998435
17.5333,0.0997538
17.6,0.0997382
17.6667,0.099586
17.7333,0.0996094
17.8,0.0995431
17.8667,0.099547
17.9333,0.0981814
18,0.0982087
18.0667,0.0983687
18.1333,0.0982399
18.2,0.0982282
18.2667,0.0984155
18.3333,0.0986574
18.4,0.0993285
18.4667,0.1019
18.5333,0.102454
18.6,0.104249
18.6667,0.106426
18.7333,0.107218
18.8,0.108365
18.8667,0.110558
18.9333,0.111514
19,0.113547
19.0667,0.115283
19.1333,0.115068
19.2,0.114811
19.2667,0.114085
19.3333,0.114011
19.4,0.113601
19.4667,0.113215
19.5333,0.112954
19.6,0.110425
19.6667,0.108865
19.7333,0.108022
19.8,0.106332
19.8667,0.104104
19.9333,0.103468
20,0.101748
20.0667,0.100425
20.1333,0.0992856
20.2,0.098435
20.2667,0.0982165
20.3333,0.0984428
20.4,0.098275
20.4667,0.099149
20.5333,0.099309
20.6,0.0991412
20.6667,0.0999255
20.7333,0.100183
20.8,0.0998669
20.8667,0.0999411
20.9333,0.100046
21,0.100394
21.0667,0.0998591
21.1333,0.0995002
21.2,0.0988642
21.2667,0.0967533
21.3333,0.0968313
21.4,0.0970772
21.4667,0.0972098
21.5333,0.0972215
21.6,0.0971513
21.6667,0.0974361
21.7333,0.0972644
21.8,0.0977717
21.8667,0.0981501
21.9333,0.0979668
22,0.0982438
22.0667,0.0980019
22.1333,0.0980565
22.2,0.0980604
22.2667,0.0980565
