Frame No.,Queue Density
0,0.0450855
0.0666667,0.0435911
0.133333,0.0425727
0.2,0.0439188
0.266667,0.0467398
0.333333,0.0487571
0.4,0.0507236
0.466667,0.0503724
0.533333,0.0509655
0.6,0.053092
0.666667,0.0539465
0.733333,0.0539504
0.8,0.0554292
0.866667,0.05651
0.933333,0.0567909
1,0.056627
1.06667,0.0565841
1.13333,0.057185
1.2,0.0580668
1.26667,0.0580824
1.33333,0.0583126
1.4,0.0587691
1.46667,0.0593037
1.53333,0.0594363
1.6,0.0591476
1.66667,0.0614068
1.73333,0.0620428
1.8,0.0642278
1.86667,0.0655583
1.93333,0.0658704
2,0.0659056
2.06667,0.0659212
2.13333,0.065847
2.2,0.0658626
2.26667,0.0661241
2.33333,0.0666352
2.4,0.0667093
2.46667,0.0660889
2.53333,0.0665064
2.6,0.066128
2.66667,0.0658158
2.73333,0.0656675
2.8,0.0659407
2.86667,0.0661084
2.93333,0.0640639
3,0.0647194
3.06667,0.065492
3.13333,0.0660772
3.2,0.0662957
3.26667,0.0666547
3.33333,0.0668576
3.4,0.0669005
3.46667,0.0680945
3.53333,0.0690777
3.6,0.0706072
3.66667,0.0726674
3.73333,0.0740135
3.8,0.0756445
3.86667,0.0772598
3.93333,0.078524
4,0.0807246
4.06667,0.0803423
4.13333,0.0804398
4.2,0.0800652
4.26667,0.0786606
4.33333,0.0781299
4.4,0.077611
4.46667,0.0774939
4.53333,0.0775603
4.6,0.0750202
4.66667,0.0756133
4.73333,0.0764951
4.8,0.0761985
4.86667,0.0761556
4.93333,0.0757498
5,0.075188
5.06667,0.0746261
5.13333,0.0741189
5.2,0.0736468
5.26667,0.0747315
5.33333,0.0752114
5.4,0.0764287
5.46667,0.0772559
5.53333,0.0773262
5.6,0.0803462
5.66667,0.0840997
5.73333,0.0855785
5.8,0.0894764
5.86667,0.0921375
5.93333,0.0930856
6,0.0939479
6.06667,0.0944161
6.13333,0.0953682
6.2,0.0960822
6.26667,0.0941742
6.33333,0.0942522
6.4,0.0954618
6.46667,0.0953174
6.53333,0.0958403
6.6,0.0958325
6.66667,0.0960744
6.73333,0.0963904
6.8,0.0975454
6.86667,0.0969172
6.93333,0.0969016
7,0.0967065
7.06667,0.0966597
7.13333,0.097124
7.2,0.0989734
7.26667,0.101439
7.33333,0.102938
7.4,0.105232
7.46667,0.108096
7.53333,0.10879
7.6,0.110886
7.66667,0.111217
7.73333,0.111752
7.8,0.112731
7.86667,0.112602
7.93333,0.111963
8,0.111846
8.06667,0.112267
8.13333,0.112493
8.2,0.113184
8.26667,0.113219
8.33333,0.113847
8.4,0.113371
8.46667,0.1124
8.53333,0.11272
8.6,0.112427
8.66667,0.112396
8.73333,0.111916
8.8,0.11133
8.86667,0.111124
8.93333,0.110929
9,0.111303
9.06667,0.111225
9.13333,0.111346
9.2,0.111986
9.26667,0.111818
9.33333,0.111846
9.4,0.111529
9.46667,0.111904
9.53333,0.112275
9.6,0.112618
9.66667,0.112665
9.73333,0.112817
9.8,0.113274
9.86667,0.113375
9.93333,0.113317
10,0.11288
10.0667,0.111662
10.1333,0.111912
10.2,0.111003
10.2667,0.110558
10.3333,0.110492
10.4,0.108154
10.4667,0.108349
10.5333,0.107846
10.6,0.108365
10.6667,0.107877
10.7333,0.10817
10.8,0.107788
10.8667,0.106637
10.9333,0.107093
11,0.106543
11.0667,0.106188
11.1333,0.106149
11.2,0.105255
11.2667,0.101638
11.3333,0.101642
11.4,0.101369
11.4667,0.101482
11.5333,0.101451
11.6,0.101572
11.6667,0.101447
11.7333,0.10215
11.8,0.101662
11.8667,0.101377
11.9333,0.101763
12,0.102075
