Time(s),Queue Density,Dynamic Density
0.0666667,0.0395793,0
0.133333,0.0394539,0
0.2,0.038388,0
0.266667,0.0395166,0
0.333333,0.0421186,0
0.4,0.0438272,0
0.466667,0.0457082,0
0.533333,0.0455514,0
0.6,0.0462882,0
0.666667,0.0478557,0
0.733333,0.049094,0
0.8,0.0493134,0
0.866667,0.0500658,0
0.933333,0.0514609,0
1,0.0518685,0
1.06667,0.0519468,0
1.13333,0.0514766,0
1.2,0.0519155,0
1.26667,0.0524955,0
1.33333,0.0532322,0
1.4,0.0527463,0
1.46667,0.0532949,0
1.53333,0.0537181,0
1.6,0.053436,0
1.66667,0.0533262,0
1.73333,0.0552542,0
1.8,0.0554894,0
1.86667,0.0575741,0
1.93333,0.0588438,0
2,0.059267,0
2.06667,0.0600194,0
2.13333,0.0600351,0
2.2,0.0594395,0
2.26667,0.0599254,0
2.33333,0.0600508,0
2.4,0.060474,0
2.46667,0.0596746,0
2.53333,0.0599411,0
2.6,0.0599724,0
2.66667,0.0593297,0
2.73333,0.0588281,0
2.8,0.0587341,0
2.86667,0.0588125,0
2.93333,0.0596119,0
3,0.0582011,0
3.06667,0.0589535,0
3.13333,0.0587654,0
3.2,0.059126,0
3.26667,0.0586714,0
3.33333,0.0588125,0
3.4,0.0588752,0
3.46667,0.0583109,0
3.53333,0.0601292,0
3.6,0.0613832,0
3.66667,0.0629663,0
3.73333,0.0645809,0
3.8,0.0649571,0
3.86667,0.0665559,0
3.93333,0.0687974,0
4,0.0708195,0
4.06667,0.0729043,0
4.13333,0.0729199,0
4.2,0.073014,0
4.26667,0.0714935,0
4.33333,0.0703022,0
4.4,0.0698476,0
4.46667,0.069299,0
4.53333,0.0691423,0
4.6,0.0688288,0
4.66667,0.0669321,0
4.73333,0.0674964,0
4.8,0.068092,0
4.86667,0.0687504,0
4.93333,0.0679196,0
5,0.0672613,0
5.06667,0.0664462,0
5.13333,0.0654273,0
5.2,0.0651295,0
5.26667,0.0650354,0
5.33333,0.0661797,0
5.4,0.0670105,0
5.46667,0.0679039,0
5.53333,0.0681861,0
5.6,0.0679196,0
5.66667,0.0706784,0
5.73333,0.0735313,0
5.8,0.0757728,0
5.86667,0.0789078,0
5.93333,0.0811493,0
6,0.0817449,0
6.06667,0.0826698,0
6.13333,0.0830303,0
6.2,0.08372,0
6.26667,0.0854442,0
6.33333,0.0841746,0
6.4,0.0843,0
6.46667,0.086228,0
6.53333,0.0854286,0
6.6,0.0851621,0
6.66667,0.085068,0
6.73333,0.0850837,0
6.8,0.0857107,0
6.86667,0.0861183,0
6.93333,0.0848329,0
7,0.0852718,0
7.06667,0.0846918,0
7.13333,0.0845978,0
7.2,0.0845664,0
7.26667,0.0865885,0
7.33333,0.0893786,0
7.4,0.0911499,0
7.46667,0.0935012,0
7.53333,0.0957584,0
7.6,0.0964167,0
7.66667,0.0981409,0
7.73333,0.0984544,0
7.8,0.0987679,0
7.86667,0.0989404,0
7.93333,0.0990814,0
8,0.0990344,0
8.06667,0.0979842,0
8.13333,0.0983604,0
