Time(s),Queue Density
0.0666667,0.045066
0.133333,0.0435404
0.2,0.0424908
0.266667,0.0439149
0.333333,0.0467359
0.4,0.0488819
0.466667,0.0508055
0.533333,0.0504661
0.6,0.0509967
0.666667,0.0531427
0.733333,0.0539855
0.8,0.0539816
0.866667,0.0554058
0.933333,0.0566231
1,0.0567441
1.06667,0.0565958
1.13333,0.0565607
1.2,0.0572123
1.26667,0.0580512
1.33333,0.0580902
1.4,0.058258
1.46667,0.0588277
1.53333,0.0593739
1.6,0.0594559
1.66667,0.059093
1.73333,0.0614692
1.8,0.0619647
1.86667,0.0642824
1.93333,0.0656871
2,0.0659563
2.06667,0.0659329
2.13333,0.0661514
2.2,0.0658626
2.26667,0.0658821
2.33333,0.0661592
2.4,0.0667015
2.46667,0.0667288
2.53333,0.0661202
2.6,0.0665142
2.66667,0.0662138
2.73333,0.0657456
2.8,0.0656675
2.86667,0.0659095
2.93333,0.0660733
3,0.0640288
3.06667,0.0646921
3.13333,0.0654685
3.2,0.0660733
3.26667,0.0662723
3.33333,0.0666274
3.4,0.0668303
3.46667,0.0668576
3.53333,0.0682271
3.6,0.0690855
3.66667,0.070615
3.73333,0.0727025
3.8,0.0740057
3.86667,0.0756406
3.93333,0.0773301
4,0.0785669
4.06667,0.0807832
4.13333,0.0803618
4.2,0.0804398
4.26667,0.0800808
4.33333,0.0787074
4.4,0.0782197
4.46667,0.0775993
4.53333,0.0775603
4.6,0.077611
4.66667,0.0750436
4.73333,0.0755938
4.8,0.0764717
4.86667,0.076222
4.93333,0.0761517
5,0.075742
5.06667,0.0751841
5.13333,0.0746066
5.2,0.0740877
5.26667,0.0736546
5.33333,0.0747354
5.4,0.0752036
5.46667,0.0764522
5.53333,0.0772676
5.6,0.0773223
5.66667,0.0804203
5.73333,0.0841309
5.8,0.0856253
5.86667,0.0895076
5.93333,0.0921765
6,0.0931207
6.06667,0.0939986
6.13333,0.0944356
6.2,0.0953721
6.26667,0.096129
6.33333,0.0942327
6.4,0.0943069
6.46667,0.095493
6.53333,0.0953213
6.6,0.0959066
6.66667,0.095891
6.73333,0.0961992
6.8,0.0965387
6.86667,0.0975454
6.93333,0.0969601
7,0.0969328
