Time(s),Queue Density,Dynamic Density
0.0666667,0.0387204,0
0.133333,0.0380474,0
0.2,0.0379088,0
0.266667,0.0393737,0
0.333333,0.0413928,0
0.4,0.0429567,0
0.466667,0.0452332,0
0.533333,0.0450154,0
0.6,0.0453124,0
0.666667,0.0477868,0
0.733333,0.048163,0
0.8,0.0480046,0
0.866667,0.0491923,0
0.933333,0.0504791,0
1,0.0513897,0
1.06667,0.0510333,0
1.13333,0.0502811,0
1.2,0.0506176,0
1.26667,0.0507364,0
1.33333,0.0507364,0
1.4,0.0503603,0
1.46667,0.051548,0
1.53333,0.0516866,0
1.6,0.051746,0
1.66667,0.0510333,0
1.73333,0.0536464,0
1.8,0.0541215,0
1.86667,0.0558437,0
1.93333,0.057269,0
2,0.0571502,0
2.06667,0.0581796,0
2.13333,0.0581796,0
2.2,0.0589516,0
2.26667,0.0576451,0
2.33333,0.0578827,0
2.4,0.0585359,0
2.46667,0.0586547,0
2.53333,0.057942,0
2.6,0.0582588,0
2.66667,0.0580212,0
2.73333,0.0574867,0
2.8,0.0577243,0
2.86667,0.0572096,0
2.93333,0.0585755,0
3,0.0573482,0
3.06667,0.0568137,0
3.13333,0.0574867,0
3.2,0.05911,0
3.26667,0.0580806,0
3.33333,0.0581796,0
3.4,0.0581796,0
3.46667,0.0585359,0
3.53333,0.0598424,0
3.6,0.0612875,0
3.66667,0.0633463,0
3.73333,0.0640985,0
3.8,0.0651477,0
3.86667,0.0669095,0
3.93333,0.069186,0
4,0.0714427,0
4.06667,0.0732045,0
4.13333,0.0734421,0
4.2,0.0741547,0
4.26667,0.071799,0
4.33333,0.0695423,0
4.4,0.0692058,0
4.46667,0.0689089,0
4.53333,0.0694829,0
4.6,0.0695819,0
4.66667,0.0670085,0
4.73333,0.0669689,0
4.8,0.0670085,0
4.86667,0.0681368,0
4.93333,0.0668303,0
5,0.0662562,0
5.06667,0.0656426,0
5.13333,0.0648507,0
5.2,0.0638808,0
5.26667,0.0643361,0
5.33333,0.0645538,0
5.4,0.0658999,0
5.46667,0.0661771,0
5.53333,0.0668501,0
5.6,0.0663552,0
5.66667,0.0692256,0
5.73333,0.0732045,0
5.8,0.0743329,0
5.86667,0.0779753,0
5.93333,0.0798559,0
6,0.0808853,0
6.06667,0.0815583,0
6.13333,0.0813208,0
6.2,0.0823699,0
6.26667,0.0843099,0
6.33333,0.0829836,0
6.4,0.0823304,0
6.46667,0.0853195,0
6.53333,0.0847058,0
6.6,0.0850424,0
6.66667,0.0847454,0
6.73333,0.0841911,0
6.8,0.0842901,0
6.86667,0.084686,0
6.93333,0.0839932,0
7,0.084013,0
7.06667,0.0834785,0
7.13333,0.0835181,0
7.2,0.0833003,0
7.26667,0.0855768,0
7.33333,0.0876752,0
7.4,0.0897339,0
7.46667,0.0915354,0
7.53333,0.0944057,0
7.6,0.094861,0
7.66667,0.0965833,0
7.73333,0.0972167,0
7.8,0.0979294,0
7.86667,0.0973949,0
7.93333,0.0977314,0
8,0.0974147,0
8.06667,0.0956925,0
8.13333,0.0964843,0
8.2,0.0967218,0
8.26667,0.0963853,0
8.33333,0.0968604,0
8.4,0.0966624,0
8.46667,0.0959894,0
8.53333,0.096128,0
8.6,0.0956331,0
8.66667,0.0958904,0
8.73333,0.0959894,0
8.8,0.0956727,0
8.86667,0.0943661,0
8.93333,0.0942672,0
9,0.0939504,0
9.06667,0.0938712,0
9.13333,0.0942474,0
9.2,0.0933764,0
9.26667,0.0943068,0
9.33333,0.0947819,0
9.4,0.0940296,0
9.46667,0.0933566,0
9.53333,0.0940098,0
9.6,0.0948016,0
9.66667,0.0962665,0
9.73333,0.0954945,0
9.8,0.0952372,0
9.86667,0.0954351,0
9.93333,0.0955341,0
10,0.0961873,0
10.0667,0.095158,0
10.1333,0.0941088,0
10.2,0.0946037,0
10.2667,0.0923668,0
10.3333,0.0916937,0
10.4,0.091476,0
10.4667,0.0890807,0
10.5333,0.0887046,0
10.6,0.0896152,0
10.6667,0.089437,0
10.7333,0.0897141,0
10.8,0.0905258,0
10.8667,0.0900903,0
10.9333,0.0893776,0
11,0.0891401,0
11.0667,0.0907039,0
11.1333,0.0908425,0
11.2,0.0910009,0
11.2667,0.0894172,0
11.3333,0.0865468,0
11.4,0.0875366,0
11.4667,0.086626,0
11.5333,0.0862499,0
11.6,0.0873189,0
11.6667,0.0868042,0
11.7333,0.0872199,0
11.8,0.0872199,0
11.8667,0.0869428,0
11.9333,0.0865864,0
12,0.0879721,0
12.0667,0.0870219,0
12.1333,0.0872595,0
12.2,0.0882097,0
12.2667,0.0878929,0
12.3333,0.0883878,0
12.4,0.0882493,0
12.4667,0.0882097,0
12.5333,0.0891401,0
12.6,0.0891401,0
12.6667,0.0892786,0
12.7333,0.0894568,0
12.8,0.0895162,0
12.8667,0.0887046,0
12.9333,0.088764,0
13,0.0894766,0
13.0667,0.0896152,0
13.1333,0.090506,0
13.2,0.0900111,0
13.2667,0.0902288,0
13.3333,0.0909217,0
13.4,0.091179,0
13.4667,0.0912384,0
13.5333,0.0917927,0
13.6,0.0918323,0
13.6667,0.09205,0
13.7333,0.0917333,0
13.8,0.0917531,0
13.8667,0.0924658,0
13.9333,0.092248,0
14,0.0922678,0
14.0667,0.0923074,0
14.1333,0.0923074,0
14.2,0.0923668,0
14.2667,0.0919511,0
14.3333,0.0925647,0
14.4,0.0920896,0
14.4667,0.0916541,0
14.5333,0.0915354,0
14.6,0.0917729,0
14.6667,0.092248,0
14.7333,0.0925251,0
14.8,0.0923668,0
14.8667,0.0902684,0
14.9333,0.0898131,0
15,0.0902486,0
15.0667,0.0900705,0
15.1333,0.0901695,0
15.2,0.090605,0
15.2667,0.0908227,0
15.3333,0.0900309,0
15.4,0.090209,0
15.4667,0.0907237,0
15.5333,0.0912186,0
15.6,0.0919313,0
15.6667,0.0927231,0
15.7333,0.0920896,0
15.8,0.092446,0
15.8667,0.0905852,0
15.9333,0.089635,0
16,0.0891599,0
16.0667,0.0888431,0
16.1333,0.0871803,0
16.2,0.0876356,0
16.2667,0.0883285,0
16.3333,0.0875564,0
16.4,0.0874772,0
16.4667,0.087596,0
16.5333,0.0884868,0
16.6,0.0881701,0
16.6667,0.0880711,0
16.7333,0.0874376,0
16.8,0.0870615,0
16.8667,0.0872001,0
16.9333,0.0868834,0
17,0.0870417,0
17.0667,0.0871407,0
17.1333,0.0869032,0
17.2,0.086824,0
17.2667,0.0873387,0
17.3333,0.0872595,0
17.4,0.087596,0
17.4667,0.0877544,0
17.5333,0.0883482,0
17.6,0.0882493,0
17.6667,0.0882295,0
17.7333,0.0881503,0
17.8,0.0882493,0
17.8667,0.0881899,0
17.9333,0.0882295,0
18,0.0871407,0
18.0667,0.0874376,0
18.1333,0.0871803,0
18.2,0.0871407,0
18.2667,0.0870417,0
18.3333,0.0871209,0
18.4,0.0874376,0
18.4667,0.0879721,0
18.5333,0.0904466,0
18.6,0.091278,0
18.6667,0.0933368,0
18.7333,0.0957716,0
18.8,0.0967614,0
18.8667,0.0973949,0
18.9333,0.100146,0
19,0.101057,0
19.0667,0.102898,0
19.1333,0.104521,0
19.2,0.104442,0
19.2667,0.103215,0
19.3333,0.102839,0
19.4,0.102482,0
19.4667,0.101809,0
19.5333,0.101631,0
19.6,0.101374,0
19.6667,0.0995922,0
19.7333,0.0980877,0
19.8,0.0969198,0
19.8667,0.0952767,0
19.9333,0.0920896,0
20,0.0918719,0
20.0667,0.0901299,0
20.1333,0.0890015,0
20.2,0.0877148,0
20.2667,0.0864874,0
20.3333,0.0858144,0
20.4,0.0861707,0
20.4667,0.0867646,0
20.5333,0.0877544,0
20.6,0.0879919,0
20.6667,0.0880117,0
20.7333,0.088467,0
20.8,0.0890213,0
20.8667,0.0889025,0
20.9333,0.0888233,0
21,0.0888629,0
21.0667,0.0890411,0
21.1333,0.0885858,0
21.2,0.0878534,0
21.2667,0.0870615,0
21.3333,0.0859926,0
21.4,0.0859332,0
21.4667,0.0859926,0
21.5333,0.0861113,0
21.6,0.0860519,0
21.6667,0.0859332,0
21.7333,0.0861311,0
21.8,0.0860321,0
21.8667,0.0863093,0
21.9333,0.0866854,0
22,0.0868438,0
22.0667,0.0871407,0
22.1333,0.0866854,0
22.2,0.0866854,0
22.2667,0.0868438,0
22.3333,0.086824,0
22.4,0.0866062,0
22.4667,0.0864874,0
22.5333,0.0865468,0
22.6,0.0872793,0
22.6667,0.0880315,0
22.7333,0.0882889,0
22.8,0.0886254,0
22.8667,0.088566,0
22.9333,0.0901101,0
23,0.0907633,0
23.0667,0.0911394,0
23.1333,0.0922876,0
23.2,0.0926835,0
23.2667,0.0917927,0
23.3333,0.0908227,0
23.4,0.0898329,0
23.4667,0.0890213,0
23.5333,0.0884274,0
23.6,0.0885264,0
23.6667,0.0884274,0
23.7333,0.0884472,0
23.8,0.0884274,0
23.8667,0.0887838,0
23.9333,0.0887838,0
24,0.0889817,0
24.0667,0.0890213,0
24.1333,0.0888431,0
24.2,0.0889025,0
24.2667,0.0892786,0
24.3333,0.0890213,0
24.4,0.0887442,0
24.4667,0.0890213,0
24.5333,0.088764,0
24.6,0.0889421,0
24.6667,0.0907237,0
24.7333,0.0911988,0
24.8,0.0912384,0
24.8667,0.0909019,0
24.9333,0.0910998,0
25,0.0911394,0
25.0667,0.0913572,0
25.1333,0.0911196,0
25.2,0.0910603,0
25.2667,0.0910207,0
25.3333,0.0912978,0
25.4,0.0914166,0
25.4667,0.0919709,0
25.5333,0.0917135,0
25.6,0.092248,0
25.6667,0.0931784,0
25.7333,0.0947819,0
25.8,0.0953955,0
25.8667,0.0955539,0
25.9333,0.0953757,0
26,0.096128,0
26.0667,0.0962269,0
26.1333,0.0966031,0
26.2,0.0969,0
26.2667,0.096702,0
26.3333,0.0976918,0
26.4,0.0974147,0
26.4667,0.0975335,0
26.5333,0.0980679,0
26.6,0.0987014,0
26.6667,0.0985826,0
26.7333,0.0990775,0
26.8,0.0991369,0
26.8667,0.0995724,0
26.9333,0.10074,0
27,0.101156,0
27.0667,0.101215,0
27.1333,0.102007,0
27.2,0.102601,0
27.2667,0.104521,0
27.3333,0.10848,0
27.4,0.109846,0
27.4667,0.112855,0
27.5333,0.115132,0
27.6,0.116795,0
27.6667,0.119111,0
27.7333,0.120675,0
27.8,0.121051,0
27.8667,0.123268,0
27.9333,0.124436,0
28,0.125742,0
28.0667,0.128118,0
28.1333,0.130097,0
28.2,0.130751,0
28.2667,0.132869,0
28.3333,0.136511,0
28.4,0.138511,0
28.4667,0.141183,0
28.5333,0.142608,0
28.6,0.143618,0
28.6667,0.145637,0
28.7333,0.147339,0
28.8,0.145914,0
28.8667,0.147617,0
28.9333,0.149359,0
29,0.149517,0
29.0667,0.151754,0
29.1333,0.152585,0
29.2,0.151714,0
