Time(s),Queue Density,Dynamic Density
0.0666667,0.0432227,0
0.133333,0.0419716,0
0.2,0.0412087,0
0.266667,0.0422584,0
0.333333,0.0448034,0
0.4,0.0466954,0
0.466667,0.048447,0
0.533333,0.0485691,0
0.6,0.0486912,0
0.666667,0.0507663,0
0.733333,0.0519625,0
0.8,0.0520906,0
0.866667,0.0531221,0
0.933333,0.054538,0
1,0.054715,0
1.06667,0.0548005,0
1.13333,0.0544953,0
1.2,0.0544282,0
1.26667,0.0555267,0
1.33333,0.0553986,0
1.4,0.055954,0
1.46667,0.0564605,0
1.53333,0.0567535,0
1.6,0.0570647,0
1.66667,0.0565338,0
1.73333,0.0591093,0
1.8,0.0594572,0
1.86667,0.0615567,0
1.93333,0.0627651,0
2,0.0630031,0
2.06667,0.0630336,0
2.13333,0.0626308,0
2.2,0.0627895,0
2.26667,0.0628872,0
2.33333,0.0633266,0
2.4,0.0634853,0
2.46667,0.0634426,0
2.53333,0.0631923,0
2.6,0.063351,0
2.66667,0.0626858,0
2.73333,0.0625271,0
2.8,0.0623562,0
2.86667,0.0626186,0
2.93333,0.0629909,0
3,0.0612393,0
3.06667,0.0621975,0
3.13333,0.062521,0
3.2,0.0630031,0
3.26667,0.0628872,0
3.33333,0.0636928,0
3.4,0.0632351,0
3.46667,0.0630275,0
3.53333,0.0646998,0
3.6,0.0656397,0
3.66667,0.0672693,0
3.73333,0.0686791,0
3.8,0.0699852,0
3.86667,0.0717185,0
3.93333,0.0735372,0
4,0.0748616,0
4.06667,0.0768574,0
4.13333,0.0770465,0
4.2,0.0770832,0
4.26667,0.0767292,0
4.33333,0.0754048,0
4.4,0.074886,0
4.46667,0.0742879,0
4.53333,0.0735921,0
4.6,0.0739339,0
4.66667,0.0709922,0
4.73333,0.071395,0
4.8,0.0722189,0
4.86667,0.072518,0
4.93333,0.0718772,0
5,0.071395,0
5.06667,0.0708152,0
5.13333,0.0704307,0
5.2,0.0698814,0
5.26667,0.0698143,0
5.33333,0.0709434,0
5.4,0.0711692,0
5.46667,0.0720908,0
5.53333,0.0728415,0
5.6,0.0728781,0
5.66667,0.0759541,0
5.73333,0.0794451,0
5.8,0.081093,0
5.86667,0.0845352,0
5.93333,0.0873914,0
6,0.0883618,0
6.06667,0.0891919,0
6.13333,0.0894421,0
6.2,0.0903149,0
6.26667,0.0913707,0
6.33333,0.0894116,0
6.4,0.0898632,0
6.46667,0.0915416,0
6.53333,0.0912364,0
6.6,0.091389,0
6.66667,0.0910839,0
6.73333,0.0909374,0
6.8,0.0914989,0
6.86667,0.0918712,0
6.93333,0.0915782,0
7,0.0914012,0
7.06667,0.0910228,0
7.13333,0.0910045,0
7.2,0.0908397,0
7.26667,0.092866,0
7.33333,0.0956246,0
7.4,0.0972298,0
7.46667,0.0996771,0
7.53333,0.102332,0
7.6,0.103284,0
7.66667,0.104962,0
7.73333,0.105548,0
7.8,0.106024,0
7.86667,0.106464,0
7.93333,0.106726,0
8,0.106787,0
8.06667,0.105976,0
8.13333,0.106464,0
8.2,0.106604,0
8.26667,0.107141,0
8.33333,0.107324,0
8.4,0.107929,0
8.46667,0.107031,0
8.53333,0.106763,0
8.6,0.106421,0
8.66667,0.106177,0
8.73333,0.105719,0
8.8,0.10539,0
8.86667,0.104975,0
8.93333,0.104901,0
9,0.104444,0
9.06667,0.104615,0
9.13333,0.10481,0
9.2,0.105146,0
9.26667,0.105805,0
9.33333,0.105378,0
9.4,0.105262,0
9.46667,0.104828,0
9.53333,0.104914,0
9.6,0.105384,0
9.66667,0.105988,0
9.73333,0.106067,0
9.8,0.10636,0
9.86667,0.106751,0
9.93333,0.106928,0
10,0.106958,0
10.0667,0.106244,0
10.1333,0.105371,0
10.2,0.105341,0
10.2667,0.104193,0
10.3333,0.103614,0
10.4,0.103125,0
10.4667,0.101124,0
10.5333,0.101679,0
10.6,0.101142,0
10.6667,0.101679,0
10.7333,0.101233,0
10.8,0.101325,0
10.8667,0.101594,0
10.9333,0.100239,0
11,0.100452,0
11.0667,0.100135,0
11.1333,0.0998969,0
11.2,0.0995185,0
11.2667,0.0987678,0
11.3333,0.0962227,0
11.4,0.0962227,0
11.4667,0.095881,0
11.5333,0.0958932,0
11.6,0.0958993,0
11.6667,0.0963265,0
11.7333,0.0962044,0
11.8,0.0969307,0
11.8667,0.0963326,0
11.9333,0.0961129,0
12,0.0965279,0
12.0667,0.0967842,0
12.1333,0.0961617,0
12.2,0.0964425,0
12.2667,0.0966744,0
12.3333,0.0972298,0
12.4,0.0972847,0
12.4667,0.0966439,0
12.5333,0.0964547,0
12.6,0.0968941,0
12.6667,0.0970467,0
