Frame No.,Queue Density
21.2,0.0988096
21.2667,0.0966284
21.3333,0.096726
21.4,0.0969445
21.4667,0.0970576
21.5333,0.0970967
21.6,0.0970459
21.6667,0.0973386
21.7333,0.0971591
21.8,0.0976624
21.8667,0.0980253
21.9333,0.0978575
22,0.0981462
22.0667,0.0978926
22.1333,0.0979512
22.2,0.0979668
22.2667,0.0979707
22.3333,0.0978887
22.4,0.0976039
22.4667,0.0977366
22.5333,0.0980409
22.6,0.09911
22.6667,0.0994143
22.7333,0.0996289
22.8,0.10016
22.8667,0.101541
22.9333,0.102142
23,0.102949
23.0667,0.103862
23.1333,0.104506
23.2,0.104112
23.2667,0.103496
23.3333,0.103102
23.4,0.102052
23.4667,0.101642
23.5333,0.101549
23.6,0.101619
23.6667,0.101794
23.7333,0.101857
23.8,0.10215
23.8667,0.102313
23.9333,0.102204
24,0.102505
24.0667,0.102735
24.1333,0.102864
24.2,0.103051
24.2667,0.103039
24.3333,0.103024
24.4,0.103125
24.4667,0.103047
24.5333,0.10334
24.6,0.104003
24.6667,0.103964
24.7333,0.104202
24.8,0.104502
24.8667,0.10453
24.9333,0.104385
25,0.104502
25.0667,0.104256
25.1333,0.104534
25.2,0.104292
25.2667,0.104385
25.3333,0.104658
25.4,0.104592
25.4667,0.104592
25.5333,0.105267
25.6,0.105794
25.6667,0.107362
25.7333,0.107667
25.8,0.107674
25.8667,0.107745
25.9333,0.108357
26,0.10888
26.0667,0.109317
26.1333,0.109883
26.2,0.110144
26.2667,0.109672
26.3333,0.10977
26.4,0.110831
26.4667,0.111471
26.5333,0.112193
26.6,0.112407
26.6667,0.112505
26.7333,0.112349
26.8,0.112989
26.8667,0.113547
26.9333,0.113851
27,0.114842
27.0667,0.115857
27.1333,0.116758
27.2,0.119438
27.2667,0.122576
27.3333,0.124495
27.4,0.127742
27.4667,0.130457
27.5333,0.132256
27.6,0.13505
27.6667,0.137036
27.7333,0.13807
27.8,0.140403
27.8667,0.142959
27.9333,0.141737
28,0.144203
28.0667,0.146373
28.1333,0.147598
28.2,0.150489
28.2667,0.154375
28.3333,0.155928
28.4,0.159315
28.4667,0.161851
28.5333,0.162518
28.6,0.163662
28.6667,0.165254
28.7333,0.165874
28.8,0.167388
28.8667,0.168168
28.9333,0.168757
29,0.170673
29.0667,0.171781
29.1333,0.171309
29.2,0.171426
29.2667,0.17253
29.3333,0.172952
29.4,0.17367
29.4667,0.174236
29.5333,0.174856
29.6,0.166869
29.6667,0.168441
29.7333,0.168949
29.8,0.170322
29.8667,0.171395
29.9333,0.171676
30,0.171516
30.0667,0.172948
30.1333,0.17317
30.2,0.174567
30.2667,0.175753
30.3333,0.176167
30.4,0.177283
30.4667,0.178028
30.5333,0.178153
30.6,0.178344
30.6667,0.178844
30.7333,0.178613
30.8,0.178446
30.8667,0.17857
30.9333,0.179757
31,0.179546
31.0667,0.179405
31.1333,0.179242
31.2,0.179448
31.2667,0.179167
31.3333,0.179269
31.4,0.178598
31.4667,0.179487
31.5333,0.179768
31.6,0.18017
31.6667,0.18001
31.7333,0.180022
31.8,0.180486
31.8667,0.180276
31.9333,0.180369
32,0.181352
32.0667,0.181032
32.1333,0.180549
32.2,0.181341
32.2667,0.182145
32.3333,0.182203
32.4,0.183042
32.4667,0.183268
32.5333,0.182976
32.6,0.182496
32.6667,0.183007
32.7333,0.182519
32.8,0.182804
32.8667,0.182582
32.9333,0.180834
33,0.180806
33.0667,0.181044
33.1333,0.180962
33.2,0.18122
33.2667,0.181313
33.3333,0.182379
33.4,0.186222
33.4667,0.189398
33.5333,0.191786
33.6,0.194939
33.6667,0.197873
33.7333,0.199074
33.8,0.201349
33.8667,0.204022
33.9333,0.206137
34,0.209348
34.0667,0.210792
34.1333,0.211631
34.2,0.214362
34.2667,0.21636
34.3333,0.2173
34.4,0.221065
34.4667,0.222934
34.5333,0.224776
34.6,0.231955
34.6667,0.234472
34.7333,0.236286
34.8,0.237663
34.8667,0.239493
34.9333,0.241382
35,0.24311
35.0667,0.244289
35.1333,0.244745
35.2,0.245245
35.2667,0.244648
35.3333,0.244339
35.4,0.24361
35.4667,0.242708
35.5333,0.242946
35.6,0.244339
35.6667,0.244019
35.7333,0.244312
35.8,0.243797
35.8667,0.243329
35.9333,0.243516
36,0.243797
36.0667,0.244936
36.1333,0.245553
36.2,0.245186
36.2667,0.240574
36.3333,0.240816
36.4,0.240094
36.4667,0.240477
36.5333,0.239521
36.6,0.238561
36.6667,0.238046
36.7333,0.238362
36.8,0.238065
36.8667,0.237269
36.9333,0.236906
37,0.237055
37.0667,0.236614
37.1333,0.236864
37.2,0.236032
37.2667,0.235482
37.3333,0.235026
37.4,0.23478
37.4667,0.234776
37.5333,0.233859
37.6,0.232747
37.6667,0.232049
37.7333,0.232837
37.8,0.232466
