Time(s),Queue Density
0.0666667,0.0450972
0.133333,0.0435794
0.2,0.0424595
0.266667,0.0439149
0.333333,0.0467359
0.4,0.048761
0.466667,0.0507197
0.533333,0.0502983
0.6,0.050946
0.666667,0.0530998
0.733333,0.0539387
0.8,0.0539504
0.866667,0.0554292
0.933333,0.0564983
1,0.0568338
1.06667,0.0566856
1.13333,0.056627
1.2,0.0571733
1.26667,0.0580707
1.33333,0.0580824
1.4,0.0583087
1.46667,0.0587769
1.53333,0.0593037
1.6,0.0594129
1.66667,0.0590384
1.73333,0.0614692
1.8,0.0619101
1.86667,0.0642902
1.93333,0.0657495
2,0.0660226
2.06667,0.0658977
2.13333,0.0659212
2.2,0.0659056
2.26667,0.0659212
2.33333,0.0661319
2.4,0.0666313
2.46667,0.0667093
2.53333,0.0660889
2.6,0.0664752
2.66667,0.0662372
2.73333,0.0657885
2.8,0.0656831
2.86667,0.0659017
2.93333,0.0660889
3,0.0641536
3.06667,0.0647662
3.13333,0.0654842
3.2,0.0661748
3.26667,0.0661631
3.33333,0.066721
3.4,0.0669083
3.46667,0.0668771
3.53333,0.0680828
3.6,0.0690153
3.66667,0.0706775
3.73333,0.072722
3.8,0.0740057
3.86667,0.0756445
3.93333,0.0772754
4,0.0785084
4.06667,0.0807364
4.13333,0.0803657
4.2,0.0804554
4.26667,0.080034
4.33333,0.0786684
4.4,0.078087
4.46667,0.0775954
4.53333,0.07749
4.6,0.077572
4.66667,0.0750007
4.73333,0.0756055
4.8,0.0764912
4.86667,0.0762337
4.93333,0.0762102
5,0.075781
5.06667,0.0752114
5.13333,0.0746339
5.2,0.0741111
5.26667,0.0736389
5.33333,0.0747276
5.4,0.0752153
5.46667,0.0764522
5.53333,0.0772598
5.6,0.0773301
5.66667,0.0803228
5.73333,0.0840841
5.8,0.085598
5.86667,0.0894764
5.93333,0.0921375
6,0.0930778
6.06667,0.0939401
6.13333,0.0944551
6.2,0.0953799
6.26667,0.0960978
6.33333,0.0941976
6.4,0.0942483
6.46667,0.0954696
6.53333,0.0953486
6.6,0.0958715
6.66667,0.0958052
6.73333,0.0961017
6.8,0.0964412
6.86667,0.0975454
6.93333,0.0969952
7,0.0969718
7.06667,0.0967221
7.13333,0.096644
7.2,0.0971513
7.26667,0.0989695
7.33333,0.101447
7.4,0.102965
7.46667,0.105271
7.53333,0.108131
7.6,0.108845
7.66667,0.11096
7.73333,0.111186
7.8,0.11176
7.86667,0.11284
7.93333,0.112692
8,0.11197
8.06667,0.112099
8.13333,0.112224
8.2,0.112536
8.26667,0.113203
8.33333,0.113258
8.4,0.113761
8.46667,0.113402
8.53333,0.112431
8.6,0.112747
8.66667,0.112474
8.73333,0.112442
8.8,0.112005
8.86667,0.111354
8.93333,0.111096
9,0.110847
9.06667,0.111307
9.13333,0.111272
9.2,0.111354
9.26667,0.111963
9.33333,0.111888
9.4,0.111931
9.46667,0.111557
9.53333,0.111888
9.6,0.112329
9.66667,0.112622
9.73333,0.112673
9.8,0.112774
9.86667,0.11327
9.93333,0.113375
10,0.113254
10.0667,0.112938
10.1333,0.111736
10.2,0.111908
10.2667,0.111042
10.3333,0.110683
10.4,0.110585
10.4667,0.108248
10.5333,0.108455
10.6,0.107987
10.6667,0.108431
10.7333,0.107959
10.8,0.108268
10.8667,0.107928
10.9333,0.106758
11,0.107015
11.0667,0.106539
11.1333,0.106243
11.2,0.106207
11.2667,0.105255
11.3333,0.101685
11.4,0.101685
11.4667,0.101424
11.5333,0.101529
11.6,0.101521
11.6667,0.10156
11.7333,0.101525
11.8,0.102173
11.8667,0.101713
11.9333,0.101377
12,0.101802
12.0667,0.10211
12.1333,0.102001
12.2,0.102114
12.2667,0.10174
12.3333,0.102427
12.4,0.102786
12.4667,0.101962
12.5333,0.101697
12.6,0.102122
12.6667,0.102536
12.7333,0.102559
12.8,0.102688
12.8667,0.102087
12.9333,0.102013
13,0.102138
13.0667,0.102423
13.1333,0.102618
13.2,0.102407
13.2667,0.102528
13.3333,0.102789
13.4,0.102992
13.4667,0.103144
13.5333,0.103359
13.6,0.103714
13.6667,0.103816
13.7333,0.103301
13.8,0.103445
13.8667,0.103546
13.9333,0.10323
14,0.103437
14.0667,0.104276
14.1333,0.104229
14.2,0.104085
14.2667,0.103699
14.3333,0.103714
14.4,0.103464
14.4667,0.103047
14.5333,0.102949
14.6,0.103297
14.6667,0.101763
14.7333,0.102208
14.8,0.102754
14.8667,0.101365
14.9333,0.101213
15,0.101443
15.0667,0.10151
15.1333,0.101482
15.2,0.101763
15.2667,0.101716
15.3333,0.101568
15.4,0.101595
15.4667,0.101666
15.5333,0.102345
15.6,0.102867
15.6667,0.103757
15.7333,0.103476
15.8,0.103226
15.8667,0.102395
15.9333,0.100995
16,0.100487
16.0667,0.0997694
16.1333,0.0996172
16.2,0.0996328
16.2667,0.099586
16.3333,0.0980487
16.4,0.0984584
16.4667,0.0987354
16.5333,0.0990398
16.6,0.0986262
16.6667,0.0984662
16.7333,0.0983608
16.8,0.0981384
16.8667,0.0982789
16.9333,0.0981697
17,0.0982594
17.0667,0.0986223
17.1333,0.0988252
17.2,0.0987276
17.2667,0.0988408
17.3333,0.0990437
17.4,0.0994221
17.4667,0.0996563
17.5333,0.099746
17.6,0.0996523
17.6667,0.0996328
17.7333,0.0995041
17.8,0.0995197
17.8667,0.0994534
17.9333,0.0994573
18,0.0981267
18.0667,0.0981619
18.1333,0.098314
18.2,0.0982087
18.2667,0.0981775
18.3333,0.0983491
18.4,0.0985911
18.4667,0.0992778
18.5333,0.101845
18.6,0.102395
18.6667,0.104206
18.7333,0.106352
18.8,0.107152
18.8667,0.108299
18.9333,0.110511
19,0.111455
19.0667,0.11348
19.1333,0.115224
19.2,0.114986
19.2667,0.114733
19.3333,0.114007
19.4,0.113925
19.4667,0.113504
19.5333,0.113129
19.6,0.112864
19.6667,0.110421
19.7333,0.108896
19.8,0.108045
19.8667,0.106356
19.9333,0.10412
20,0.103468
20.0667,0.101658
20.1333,0.100359
20.2,0.0992114
20.2667,0.0983569
20.3333,0.0981306
20.4,0.0983647
20.4667,0.0982009
20.5333,0.0990866
20.6,0.0992466
20.6667,0.0990749
20.7333,0.0998669
20.8,0.100132
20.8667,0.0998201
20.9333,0.0998826
21,0.0999918
21.0667,0.100347
21.1333,0.099824
21.2,0.0994573
21.2667,0.0987979
21.3333,0.0966362
21.4,0.096726
21.4667,0.0969757
21.5333,0.0970928
21.6,0.0970967
21.6667,0.0970108
21.7333,0.0973113
21.8,0.0971513
21.8667,0.0976429
21.9333,0.0980214
22,0.0978575
22.0667,0.0981111
22.1333,0.0978926
22.2,0.097959
22.2667,0.097959
22.3333,0.0979668
22.4,0.097877
22.4667,0.0975961
22.5333,0.0977405
22.6,0.0980565
22.6667,0.0991139
22.7333,0.0994026
22.8,0.099625
22.8667,0.100152
22.9333,0.101537
23,0.102107
23.0667,0.10293
23.1333,0.103823
23.2,0.104467
23.2667,0.104089
23.3333,0.10348
23.4,0.103074
23.4667,0.102056
23.5333,0.101603
23.6,0.101533
23.6667,0.101619
23.7333,0.101771
23.8,0.101861
23.8667,0.102103
23.9333,0.10229
24,0.102169
24.0667,0.102485
24.1333,0.102707
24.2,0.102836
24.2667,0.102988
24.3333,0.103004
24.4,0.102969
24.4667,0.103078
24.5333,0.102996
24.6,0.103289
24.6667,0.103968
24.7333,0.103929
24.8,0.10419
24.8667,0.104502
24.9333,0.104534
25,0.104405
25.0667,0.104463
25.1333,0.104268
25.2,0.104448
25.2667,0.10426
25.3333,0.104358
25.4,0.104604
25.4667,0.104565
25.5333,0.104569
25.6,0.10524
25.6667,0.10579
25.7333,0.107355
25.8,0.107663
25.8667,0.10769
25.9333,0.107729
26,0.108357
26.0667,0.108884
26.1333,0.109305
26.2,0.109879
26.2667,0.110144
26.3333,0.109618
26.4,0.109707
26.4667,0.110749
26.5333,0.111448
26.6,0.112169
26.6667,0.112403
26.7333,0.112513
26.8,0.112337
26.8667,0.112934
26.9333,0.113512
27,0.113843
27.0667,0.114776
27.1333,0.115864
27.2,0.116734
27.2667,0.119435
27.3333,0.122599
27.4,0.124499
27.4667,0.127648
27.5333,0.130387
27.6,0.132225
27.6667,0.135022
27.7333,0.137036
27.8,0.13812
27.8667,0.140305
27.9333,0.142842
28,0.141687
28.0667,0.144234
28.1333,0.1464
28.2,0.147625
28.2667,0.150477
28.3333,0.154453
28.4,0.156041
28.4667,0.159272
28.5333,0.161882
28.6,0.162503
28.6667,0.163669
28.7333,0.165215
28.8,0.165858
28.8667,0.167458
28.9333,0.168223
29,0.168718
29.0667,0.170654
29.1333,0.17177
29.2,0.171231
29.2667,0.17143
29.3333,0.172464
29.4,0.172964
29.4667,0.173689
29.5333,0.174197
29.6,0.174829
29.6667,0.166845
29.7333,0.168496
29.8,0.169015
29.8667,0.170369
29.9333,0.171532
30,0.171703
30.0667,0.171555
30.1333,0.172921
30.2,0.173198
30.2667,0.174587
30.3333,0.175816
30.4,0.176159
30.4667,0.177295
30.5333,0.17811
30.6,0.178231
30.6667,0.178348
30.7333,0.178847
30.8,0.178609
30.8667,0.178528
30.9333,0.178609
31,0.179737
31.0667,0.179546
31.1333,0.179378
31.2,0.179199
31.2667,0.179534
31.3333,0.17907
31.4,0.179339
31.4667,0.178625
31.5333,0.179499
31.6,0.179772
31.6667,0.180244
31.7333,0.179885
31.8,0.179971
31.8667,0.180525
31.9333,0.180252
32,0.180287
32.0667,0.181473
32.1333,0.181032
32.2,0.180607
32.2667,0.18136
32.3333,0.182082
32.4,0.182199
32.4667,0.183054
32.5333,0.183249
32.6,0.182929
32.6667,0.182425
32.7333,0.182964
32.8,0.182429
32.8667,0.182777
32.9333,0.182734
33,0.180908
33.0667,0.180826
33.1333,0.181083
33.2,0.18097
33.2667,0.181196
33.3333,0.181317
33.4,0.182355
33.4667,0.18623
33.5333,0.189496
33.6,0.191922
33.6667,0.195048
33.7333,0.198017
33.8,0.199238
33.8667,0.201525
33.9333,0.204178
34,0.206254
34.0667,0.209449
34.1333,0.210893
34.2,0.211732
34.2667,0.214432
34.3333,0.21648
34.4,0.217354
34.4667,0.221202
34.5333,0.223082
34.6,0.224936
34.6667,0.231982
34.7333,0.234464
34.8,0.236403
34.8667,0.237741
34.9333,0.239607
35,0.241495
35.0667,0.243239
35.1333,0.244441
35.2,0.244933
35.2667,0.24549
35.3333,0.244851
35.4,0.244511
35.4667,0.24386
35.5333,0.242876
35.6,0.2432
35.6667,0.24446
35.7333,0.244094
35.8,0.244386
35.8667,0.243836
35.9333,0.243465
36,0.243571
36.0667,0.243926
36.1333,0.245073
36.2,0.245647
36.2667,0.245264
36.3333,0.240722
36.4,0.240918
36.4667,0.240215
36.5333,0.24052
36.6,0.239556
36.6667,0.238576
36.7333,0.238171
36.8,0.238416
36.8667,0.238124
36.9333,0.237277
37,0.23691
37.0667,0.23702
37.1333,0.23661
37.2,0.236805
37.2667,0.236114
37.3333,0.235463
37.4,0.235131
37.4667,0.234924
37.5333,0.234491
37.6,0.233734
37.6667,0.232568
37.7333,0.231877
37.8,0.232681
37.8667,0.232451
37.9333,0.232981
38,0.229083
38.0667,0.229271
38.1333,0.230866
38.2,0.230761
38.2667,0.233687
38.3333,0.236251
38.4,0.237823
38.4667,0.239489
38.5333,0.241714
38.6,0.242931
38.6667,0.244488
38.7333,0.246704
38.8,0.248331
38.8667,0.250957
38.9333,0.25322
39,0.254238
39.0667,0.255768
39.1333,0.257762
39.2,0.258558
39.2667,0.260181
39.3333,0.262097
39.4,0.262935
39.4667,0.26473
39.5333,0.266428
39.6,0.267056
39.6667,0.270423
39.7333,0.272421
39.8,0.274383
39.8667,0.276245
39.9333,0.278277
40,0.280658
40.0667,0.281516
40.1333,0.282854
40.2,0.283463
40.2667,0.284181
40.3333,0.286284
40.4,0.28795
40.4667,0.29111
40.5333,0.293756
40.6,0.296132
40.6667,0.299691
40.7333,0.302488
40.8,0.303905
40.8667,0.307104
40.9333,0.309761
41,0.311529
41.0667,0.31385
41.1333,0.315489
41.2,0.316702
41.2667,0.318025
41.3333,0.325825
41.4,0.32675
41.4667,0.328818
41.5333,0.330273
41.6,0.331764
41.6667,0.333558
41.7333,0.334955
41.8,0.336368
41.8667,0.338584
41.9333,0.340664
42,0.341803
42.0667,0.344944
42.1333,0.346848
42.2,0.347652
42.2667,0.349571
42.3333,0.350516
42.4,0.351315
42.4667,0.352502
42.5333,0.353317
42.6,0.353926
42.6667,0.3548
42.7333,0.354979
42.8,0.354546
42.8667,0.355155
42.9333,0.354589
43,0.352158
43.0667,0.352638
43.1333,0.352349
43.2,0.353516
43.2667,0.353032
43.3333,0.354414
43.4,0.355565
43.4667,0.357531
43.5333,0.359166
43.6,0.359903
43.6667,0.361328
43.7333,0.362568
43.8,0.362966
43.8667,0.362818
43.9333,0.363177
44,0.363981
44.0667,0.363797
44.1333,0.364539
44.2,0.365167
44.2667,0.365705
44.3333,0.365854
44.4,0.365951
44.4667,0.366693
44.5333,0.36697
44.6,0.367364
44.6667,0.364152
44.7333,0.364359
44.8,0.36514
44.8667,0.36505
44.9333,0.36489
45,0.365026
45.0667,0.36505
45.1333,0.365424
45.2,0.366049
45.2667,0.366334
45.3333,0.367133
45.4,0.367469
45.4667,0.367734
45.5333,0.368214
45.6,0.368031
45.6667,0.368398
45.7333,0.368507
45.8,0.36855
45.8667,0.368386
45.9333,0.36823
46,0.368624
46.0667,0.368066
46.1333,0.368238
46.2,0.368105
46.2667,0.36848
46.3333,0.363981
46.4,0.364656
46.4667,0.365588
46.5333,0.366018
46.6,0.366158
46.6667,0.366119
46.7333,0.365748
46.8,0.36569
46.8667,0.365721
46.9333,0.365912
47,0.366099
47.0667,0.366224
47.1333,0.365803
47.2,0.366014
47.2667,0.366115
47.3333,0.365936
47.4,0.366197
47.4667,0.366369
47.5333,0.367087
47.6,0.367426
47.6667,0.367137
47.7333,0.367637
47.8,0.367742
47.8667,0.367898
47.9333,0.367617
48,0.364426
48.0667,0.364387
48.1333,0.364976
48.2,0.365448
48.2667,0.365487
48.3333,0.366704
48.4,0.36734
48.4667,0.367278
48.5333,0.366782
48.6,0.36679
48.6667,0.367356
48.7333,0.367184
48.8,0.367262
48.8667,0.366712
48.9333,0.366142
49,0.366084
49.0667,0.365245
49.1333,0.364859
49.2,0.365003
49.2667,0.365151
49.3333,0.365354
49.4,0.364847
49.4667,0.36487
49.5333,0.36466
49.6,0.364882
49.6667,0.359966
49.7333,0.360321
49.8,0.361121
49.8667,0.361398
49.9333,0.36121
50,0.361246
50.0667,0.360368
50.1333,0.360598
50.2,0.360668
50.2667,0.360637
50.3333,0.360489
50.4,0.360434
50.4667,0.360848
50.5333,0.361374
50.6,0.361374
50.6667,0.361445
50.7333,0.361733
50.8,0.361433
50.8667,0.361312
50.9333,0.361105
51,0.360961
51.0667,0.360898
51.1333,0.361066
51.2,0.361074
51.2667,0.361058
51.3333,0.356751
51.4,0.357008
51.4667,0.357199
51.5333,0.357231
51.6,0.357301
51.6667,0.35791
51.7333,0.357925
51.8,0.358452
51.8667,0.358136
51.9333,0.358678
52,0.358733
52.0667,0.359065
52.1333,0.359263
52.2,0.359517
52.2667,0.359794
52.3333,0.359681
52.4,0.359673
52.4667,0.359189
52.5333,0.359217
52.6,0.359334
52.6667,0.360563
52.7333,0.361819
52.8,0.362264
52.8667,0.362689
52.9333,0.364125
53,0.359435
53.0667,0.361066
53.1333,0.363345
53.2,0.36455
53.2667,0.366037
53.3333,0.367769
53.4,0.368476
53.4667,0.369759
53.5333,0.371246
53.6,0.372069
53.6667,0.373478
53.7333,0.373712
53.8,0.374036
53.8667,0.374434
53.9333,0.375476
54,0.376365
54.0667,0.377852
54.1333,0.37974
54.2,0.3818
54.2667,0.385694
54.3333,0.388246
54.4,0.389975
54.4667,0.392499
54.5333,0.394325
54.6,0.39534
54.6667,0.401399
54.7333,0.401649
54.8,0.402476
54.8667,0.403736
54.9333,0.404798
55,0.406144
55.0667,0.407603
55.1333,0.408961
55.2,0.409975
55.2667,0.410237
55.3333,0.411181
55.4,0.41248
55.4667,0.412625
55.5333,0.412898
55.6,0.412933
55.6667,0.413144
55.7333,0.412664
55.8,0.412777
55.8667,0.412976
55.9333,0.413343
56,0.413616
56.0667,0.413983
56.1333,0.414603
56.2,0.414821
56.2667,0.415173
56.3333,0.412418
56.4,0.412882
56.4667,0.413284
56.5333,0.413456
56.6,0.413116
56.6667,0.4133
56.7333,0.413046
56.8,0.412773
56.8667,0.413093
56.9333,0.413054
57,0.413452
57.0667,0.413483
57.1333,0.41346
57.2,0.413678
57.2667,0.413027
57.3333,0.413003
57.4,0.412874
57.4667,0.412917
57.5333,0.413218
57.6,0.413468
57.6667,0.413717
57.7333,0.413405
57.8,0.413144
57.8667,0.413241
57.9333,0.413003
58,0.409577
58.0667,0.409964
58.1333,0.410471
58.2,0.410561
58.2667,0.410451
58.3333,0.410924
58.4,0.41106
58.4667,0.411029
58.5333,0.411158
58.6,0.411204
58.6667,0.409812
58.7333,0.410311
58.8,0.410689
58.8667,0.410924
58.9333,0.410705
59,0.410818
59.0667,0.41131
59.1333,0.411103
59.2,0.411177
59.2667,0.411801
59.3333,0.411774
59.4,0.411602
59.4667,0.411778
59.5333,0.41216
59.6,0.412867
59.6667,0.413011
59.7333,0.413405
59.8,0.413569
59.8667,0.414135
59.9333,0.414513
60,0.41479
60.0667,0.414931
60.1333,0.414529
60.2,0.41456
60.2667,0.414661
60.3333,0.411442
60.4,0.411575
60.4667,0.412352
60.5333,0.412539
60.6,0.412691
60.6667,0.412999
60.7333,0.413007
60.8,0.412765
60.8667,0.41243
60.9333,0.411587
61,0.411041
61.0667,0.409741
61.1333,0.408711
61.2,0.407455
61.2667,0.406764
61.3333,0.406581
61.4,0.406686
61.4667,0.40692
61.5333,0.407092
61.6,0.407111
61.6667,0.407201
61.7333,0.406877
61.8,0.406916
61.8667,0.407037
61.9333,0.406858
62,0.405231
62.0667,0.405621
62.1333,0.405878
62.2,0.406319
62.2667,0.406257
62.3333,0.406737
62.4,0.406975
62.4667,0.408473
62.5333,0.409585
62.6,0.410639
62.6667,0.411911
62.7333,0.413132
62.8,0.413514
62.8667,0.413538
62.9333,0.413343
63,0.413347
63.0667,0.413409
63.1333,0.413475
63.2,0.413144
63.2667,0.413226
63.3333,0.413288
63.4,0.413358
63.4667,0.41346
63.5333,0.413499
63.6,0.413464
63.6667,0.409378
63.7333,0.410003
63.8,0.410444
63.8667,0.410436
63.9333,0.410545
64,0.410927
64.0667,0.411068
64.1333,0.411224
64.2,0.411376
64.2667,0.411411
64.3333,0.41161
64.4,0.411946
64.4667,0.412032
64.5333,0.412039
64.6,0.412156
64.6667,0.412246
64.7333,0.412917
64.8,0.41305
64.8667,0.413538
64.9333,0.413698
65,0.414232
65.0667,0.414334
65.1333,0.414252
65.2,0.414533
65.2667,0.41433
65.3333,0.412129
65.4,0.412492
65.4667,0.413003
65.5333,0.41351
65.6,0.413694
65.6667,0.413908
65.7333,0.413549
65.8,0.413452
65.8667,0.413097
65.9333,0.412878
66,0.412711
66.0667,0.412988
66.1333,0.412644
66.2,0.412621
