Time(s),Queue Density
0.0666667,0.0451284
0.133333,0.0436106
0.2,0.0425688
0.266667,0.0439735
0.333333,0.046775
0.4,0.0487649
0.466667,0.0506768
0.533333,0.0503841
0.6,0.0509655
0.666667,0.0530998
0.733333,0.0539387
0.8,0.053966
0.866667,0.0554253
0.933333,0.0564944
1,0.0566739
1.06667,0.05651
1.13333,0.0566075
1.2,0.0571616
1.26667,0.0581019
1.33333,0.0580512
1.4,0.0583126
1.46667,0.058773
1.53333,0.0592608
1.6,0.0594129
1.66667,0.0590384
1.73333,0.0614614
1.8,0.0619101
1.86667,0.0642902
1.93333,0.0657456
2,0.0660304
2.06667,0.0659173
2.13333,0.0659134
2.2,0.0659134
2.26667,0.0658977
2.33333,0.066085
2.4,0.0666586
2.46667,0.0668342
2.53333,0.0661163
2.6,0.0665259
2.66667,0.0661514
2.73333,0.0659407
2.8,0.0655661
2.86667,0.065808
2.93333,0.0661006
3,0.0640483
3.06667,0.0647233
3.13333,0.0654803
3.2,0.0660889
3.26667,0.0662996
3.33333,0.0667132
3.4,0.0668654
3.46667,0.0668693
3.53333,0.0680828
3.6,0.0691441
3.66667,0.0705994
3.73333,0.0726245
3.8,0.0740916
3.86667,0.0757069
3.93333,0.0772247
4,0.0784577
4.06667,0.0808222
4.13333,0.0804398
4.2,0.0804398
4.26667,0.0799911
4.33333,0.078645
4.4,0.0780831
4.46667,0.077611
4.53333,0.0775681
4.6,0.0775681
4.66667,0.0750787
4.73333,0.0757225
4.8,0.0766004
4.86667,0.0763273
4.93333,0.076261
5,0.0758474
5.06667,0.075305
5.13333,0.0746963
5.2,0.0741891
5.26667,0.0736936
5.33333,0.0747822
5.4,0.0753206
5.46667,0.0765263
5.53333,0.0773457
5.6,0.0774042
5.66667,0.0804203
5.73333,0.0841504
5.8,0.085637
5.86667,0.089574
5.93333,0.0922116
6,0.0931324
6.06667,0.0939986
6.13333,0.0944668
6.2,0.0954306
6.26667,0.096168
6.33333,0.0942444
6.4,0.0943576
6.46667,0.0955203
6.53333,0.0954111
6.6,0.0959612
6.66667,0.0959027
6.73333,0.0961134
6.8,0.0964255
6.86667,0.0976078
6.93333,0.0969991
7,0.0969484
7.06667,0.0968352
7.13333,0.0967962
7.2,0.0971708
7.26667,0.0990476
7.33333,0.101502
7.4,0.103047
7.46667,0.105345
7.53333,0.108186
7.6,0.108911
7.66667,0.110968
7.73333,0.111229
7.8,0.111842
7.86667,0.112899
7.93333,0.112751
8,0.112017
8.06667,0.112076
8.13333,0.112232
8.2,0.112548
8.26667,0.113223
8.33333,0.113289
8.4,0.11391
8.46667,0.1135
8.53333,0.112497
8.6,0.112821
8.66667,0.112579
8.73333,0.112575
8.8,0.112099
8.86667,0.111424
8.93333,0.111241
9,0.110948
9.06667,0.111366
9.13333,0.111291
9.2,0.111397
9.26667,0.11208
9.33333,0.111927
9.4,0.111951
9.46667,0.11151
9.53333,0.111994
9.6,0.112302
9.66667,0.112677
9.73333,0.112755
9.8,0.112829
9.86667,0.113211
9.93333,0.113348
10,0.113301
10.0667,0.11302
10.1333,0.111748
10.2,0.111974
10.2667,0.111042
10.3333,0.11064
10.4,0.110554
10.4667,0.108287
10.5333,0.108463
10.6,0.108014
10.6667,0.108431
10.7333,0.107991
10.8,0.108279
10.8667,0.108076
10.9333,0.106769
11,0.107027
11.0667,0.106551
11.1333,0.106235
11.2,0.106207
11.2667,0.105302
11.3333,0.101681
11.4,0.101681
11.4667,0.101412
11.5333,0.10151
11.6,0.101474
11.6667,0.101564
11.7333,0.101517
11.8,0.102157
11.8667,0.101752
11.9333,0.101396
12,0.101794
12.0667,0.102079
12.1333,0.101997
12.2,0.102173
12.2667,0.101744
12.3333,0.102415
12.4,0.102743
12.4667,0.101872
12.5333,0.101631
12.6,0.102099
12.6667,0.102493
12.7333,0.102528
12.8,0.102645
12.8667,0.102056
12.9333,0.101982
13,0.102087
13.0667,0.102411
13.1333,0.102618
13.2,0.102388
13.2667,0.102501
13.3333,0.102754
13.4,0.102957
13.4667,0.103121
13.5333,0.10332
13.6,0.10364
13.6667,0.103761
13.7333,0.103262
13.8,0.103406
13.8667,0.103492
13.9333,0.103168
14,0.103394
14.0667,0.104284
14.1333,0.104229
14.2,0.104085
14.2667,0.103738
14.3333,0.10373
14.4,0.103468
14.4667,0.103066
14.5333,0.102977
14.6,0.103328
14.6667,0.101732
14.7333,0.10222
14.8,0.102778
14.8667,0.101404
14.9333,0.101225
15,0.101435
15.0667,0.10151
15.1333,0.10149
15.2,0.101775
15.2667,0.101716
15.3333,0.10158
15.4,0.101592
15.4667,0.10167
15.5333,0.102352
15.6,0.102887
15.6667,0.103749
15.7333,0.103484
15.8,0.103226
15.8667,0.102419
15.9333,0.101002
16,0.100483
16.0667,0.0997967
16.1333,0.0996367
16.2,0.0996328
16.2667,0.0995977
16.3333,0.0979473
16.4,0.0983882
16.4667,0.0986769
16.5333,0.0990007
16.6,0.0985911
16.6667,0.0984389
16.7333,0.0983257
16.8,0.0981072
16.8667,0.0982789
16.9333,0.0981853
17,0.0982633
17.0667,0.0986379
17.1333,0.098833
17.2,0.0987354
17.2667,0.0988447
17.3333,0.099032
17.4,0.0994299
17.4667,0.0996641
17.5333,0.0997616
17.6,0.0996602
17.6667,0.0996367
17.7333,0.0995041
17.8,0.0995197
17.8667,0.0994534
17.9333,0.0994534
18,0.0981501
18.0667,0.0981541
18.1333,0.0983374
18.2,0.0982009
18.2667,0.0981853
18.3333,0.098353
18.4,0.0986223
18.4667,0.0993051
18.5333,0.10188
18.6,0.102434
18.6667,0.104225
18.7333,0.106418
18.8,0.107202
18.8667,0.108353
18.9333,0.11055
19,0.111498
19.0667,0.113515
19.1333,0.115271
19.2,0.115025
19.2667,0.114748
19.3333,0.114046
19.4,0.11398
19.4667,0.113555
19.5333,0.113153
19.6,0.112934
19.6667,0.110343
19.7333,0.10881
19.8,0.107952
19.8667,0.106293
19.9333,0.104038
20,0.103414
20.0667,0.101662
20.1333,0.100351
20.2,0.0992036
20.2667,0.0983765
20.3333,0.0981501
20.4,0.0983843
20.4667,0.0982087
20.5333,0.0990944
20.6,0.0992778
20.6667,0.0991022
20.7333,0.0998591
20.8,0.100124
20.8667,0.0998396
20.9333,0.0998591
21,0.0999879
21.0667,0.100347
21.1333,0.0998123
21.2,0.0994612
21.2667,0.0987861
21.3333,0.0966128
21.4,0.0966831
21.4667,0.0969523
21.5333,0.097085
21.6,0.0970928
21.6667,0.0970069
21.7333,0.0972957
21.8,0.0971318
21.8667,0.0976507
21.9333,0.0979941
22,0.0978068
22.0667,0.098115
22.1333,0.0978965
22.2,0.0979434
22.2667,0.0979473
22.3333,0.0979668
22.4,0.0978731
22.4667,0.0975805
22.5333,0.0977249
22.6,0.0980253
22.6667,0.0990944
22.7333,0.0993792
22.8,0.0996172
22.8667,0.100132
22.9333,0.101506
23,0.102142
23.0667,0.102992
23.1333,0.103862
23.2,0.104502
23.2667,0.104132
23.3333,0.103542
23.4,0.103129
23.4667,0.102118
23.5333,0.101662
23.6,0.101595
23.6667,0.101673
23.7333,0.101833
23.8,0.101935
23.8667,0.102189
23.9333,0.102329
24,0.102247
24.0667,0.102516
24.1333,0.102715
24.2,0.102879
24.2667,0.103043
24.3333,0.103027
24.4,0.102961
24.4667,0.103086
24.5333,0.103039
24.6,0.103371
24.6667,0.103976
24.7333,0.103937
24.8,0.104178
24.8667,0.104479
24.9333,0.104514
25,0.104389
25.0667,0.104463
25.1333,0.104237
25.2,0.104436
25.2667,0.104237
25.3333,0.104342
25.4,0.104619
25.4667,0.104553
25.5333,0.10458
25.6,0.105228
25.6667,0.105794
25.7333,0.107312
25.8,0.107628
25.8667,0.107651
25.9333,0.107698
26,0.108346
26.0667,0.108872
26.1333,0.109266
26.2,0.109832
26.2667,0.110148
26.3333,0.109606
26.4,0.109668
26.4667,0.110718
26.5333,0.111409
26.6,0.112099
26.6667,0.11238
26.7333,0.112466
26.8,0.112325
26.8667,0.112954
26.9333,0.113488
27,0.1138
27.0667,0.114737
27.1333,0.115794
27.2,0.116762
27.2667,0.119376
27.3333,0.122583
27.4,0.124507
27.4667,0.127679
27.5333,0.130438
27.6,0.132256
27.6667,0.135034
27.7333,0.137047
27.8,0.138132
27.8667,0.140379
27.9333,0.142865
28,0.141679
28.0667,0.144219
28.1333,0.146392
28.2,0.147574
28.2667,0.150403
28.3333,0.154375
28.4,0.15592
28.4667,0.159167
28.5333,0.161836
28.6,0.162472
28.6667,0.163623
28.7333,0.165191
28.8,0.165831
28.8667,0.167403
28.9333,0.16816
29,0.168664
29.0667,0.170658
29.1333,0.171789
29.2,0.171196
29.2667,0.171336
29.3333,0.172394
29.4,0.172874
29.4667,0.173689
29.5333,0.174111
29.6,0.174879
29.6667,0.166881
29.7333,0.168515
29.8,0.16896
29.8667,0.170388
29.9333,0.171516
30,0.171758
30.0667,0.171571
30.1333,0.172991
30.2,0.173256
30.2667,0.174602
30.3333,0.175855
30.4,0.176225
30.4667,0.177373
30.5333,0.178114
30.6,0.178188
30.6667,0.178356
30.7333,0.178902
30.8,0.178609
30.8667,0.178539
30.9333,0.178684
31,0.179714
31.0667,0.179604
31.1333,0.179472
31.2,0.179292
31.2667,0.17953
31.3333,0.179007
31.4,0.179316
31.4667,0.178617
31.5333,0.179405
31.6,0.179827
31.6667,0.180248
31.7333,0.179885
31.8,0.18001
31.8667,0.180447
31.9333,0.180318
32,0.180272
32.0667,0.181407
32.1333,0.180958
32.2,0.180541
32.2667,0.18131
32.3333,0.18209
32.4,0.182152
32.4667,0.182952
32.5333,0.183206
32.6,0.182921
32.6667,0.182355
32.7333,0.182921
32.8,0.182449
32.8667,0.182699
32.9333,0.182578
33,0.180794
33.0667,0.180794
33.1333,0.181075
33.2,0.181009
33.2667,0.181228
33.3333,0.181364
33.4,0.182386
33.4667,0.186222
33.5333,0.189402
33.6,0.19179
33.6667,0.194911
33.7333,0.197892
33.8,0.199067
33.8667,0.201353
33.9333,0.203987
34,0.206125
34.0667,0.209274
34.1333,0.210792
34.2,0.211564
34.2667,0.214272
34.3333,0.216305
34.4,0.217175
34.4667,0.220948
34.5333,0.22293
34.6,0.224741
34.6667,0.231772
34.7333,0.234238
34.8,0.236134
34.8667,0.23755
34.9333,0.239388
35,0.241292
35.0667,0.243052
35.1333,0.244218
35.2,0.244753
35.2667,0.245245
35.3333,0.24462
35.4,0.244289
35.4667,0.243582
35.5333,0.242677
35.6,0.242954
35.6667,0.244312
35.7333,0.24391
35.8,0.244207
35.8667,0.243676
35.9333,0.243286
36,0.243399
36.0667,0.243723
36.1333,0.244843
36.2,0.245522
36.2667,0.245116
36.3333,0.240621
36.4,0.2408
36.4667,0.240122
36.5333,0.240469
36.6,0.239493
36.6667,0.238424
36.7333,0.238065
36.8,0.238377
36.8667,0.238011
36.9333,0.237242
37,0.236747
37.0667,0.236883
37.1333,0.23654
37.2,0.236692
37.2667,0.235993
37.3333,0.235334
37.4,0.235018
37.4667,0.234686
37.5333,0.234608
37.6,0.233844
37.6667,0.232665
37.7333,0.232158
37.8,0.232985
37.8667,0.232474
37.9333,0.23286
38,0.229001
38.0667,0.229321
38.1333,0.231026
38.2,0.230839
38.2667,0.233613
38.3333,0.236192
38.4,0.237773
38.4667,0.239341
38.5333,0.241561
38.6,0.242822
38.6667,0.244371
38.7333,0.246587
38.8,0.248269
38.8667,0.250855
38.9333,0.253126
39,0.25416
39.0667,0.255783
39.1333,0.257766
39.2,0.258554
39.2667,0.260196
39.3333,0.262069
39.4,0.262889
39.4667,0.264625
39.5333,0.266322
39.6,0.26695
39.6667,0.270392
39.7333,0.272401
39.8,0.274376
39.8667,0.276178
39.9333,0.278254
40,0.280583
40.0667,0.281512
40.1333,0.28278
40.2,0.283408
40.2667,0.284115
40.3333,0.286241
40.4,0.287907
40.4667,0.291048
40.5333,0.293666
40.6,0.295968
40.6667,0.29964
40.7333,0.302492
40.8,0.303889
40.8667,0.306897
40.9333,0.309601
41,0.311439
41.0667,0.313761
41.1333,0.315434
41.2,0.31666
41.2667,0.318068
41.3333,0.325622
41.4,0.326625
41.4667,0.328767
41.5333,0.330187
41.6,0.331689
41.6667,0.333387
41.7333,0.334807
41.8,0.336356
41.8667,0.338518
41.9333,0.340605
42,0.341744
42.0667,0.344885
42.1333,0.346782
42.2,0.347601
42.2667,0.34945
42.3333,0.35052
42.4,0.351276
42.4667,0.352459
42.5333,0.353352
42.6,0.354066
42.6667,0.354644
42.7333,0.354909
42.8,0.354425
42.8667,0.355053
42.9333,0.354702
43,0.352002
43.0667,0.352615
43.1333,0.352283
43.2,0.353422
43.2667,0.352985
43.3333,0.35439
43.4,0.355502
43.4667,0.357473
43.5333,0.359182
43.6,0.359818
43.6667,0.361132
43.7333,0.362467
43.8,0.362939
43.8667,0.362787
43.9333,0.363286
44,0.363957
44.0667,0.363751
44.1333,0.364496
44.2,0.365034
44.2667,0.365741
44.3333,0.365815
44.4,0.365943
44.4667,0.366626
44.5333,0.366903
44.6,0.367317
44.6667,0.364086
44.7333,0.364285
44.8,0.365093
44.8667,0.364894
44.9333,0.364933
45,0.364948
45.0667,0.364999
45.1333,0.365339
45.2,0.365916
45.2667,0.366287
45.3333,0.366966
45.4,0.367403
45.4667,0.36773
45.5333,0.368039
45.6,0.367859
45.6667,0.368398
45.7333,0.368503
45.8,0.368433
45.8667,0.368359
45.9333,0.368171
46,0.368593
46.0667,0.368035
46.1333,0.368214
46.2,0.368097
46.2667,0.368398
46.3333,0.364012
46.4,0.364625
46.4667,0.365534
46.5333,0.365951
46.6,0.366119
46.6667,0.366076
46.7333,0.365534
46.8,0.365491
46.8667,0.365686
46.9333,0.365893
47,0.36601
47.0667,0.36617
47.1333,0.365838
47.2,0.36608
47.2667,0.366092
47.3333,0.365924
47.4,0.366174
47.4667,0.366427
47.5333,0.367157
47.6,0.367492
47.6667,0.367196
47.7333,0.367543
47.8,0.367656
47.8667,0.367808
47.9333,0.367496
48,0.364316
48.0667,0.364336
48.1333,0.365093
48.2,0.36562
48.2667,0.365737
48.3333,0.36686
48.4,0.367434
48.4667,0.36729
48.5333,0.366704
48.6,0.366751
48.6667,0.367364
48.7333,0.367122
48.8,0.367169
48.8667,0.366568
48.9333,0.366018
49,0.366002
49.0667,0.365225
49.1333,0.364831
49.2,0.364925
49.2667,0.365073
49.3333,0.365288
49.4,0.364804
49.4667,0.364898
49.5333,0.36466
49.6,0.364847
49.6667,0.360001
49.7333,0.360313
49.8,0.361086
49.8667,0.361335
49.9333,0.361148
50,0.361191
50.0667,0.36029
50.1333,0.360539
50.2,0.360621
50.2667,0.360598
50.3333,0.360434
50.4,0.360387
50.4667,0.360828
50.5333,0.361339
50.6,0.361343
50.6667,0.361425
50.7333,0.361714
50.8,0.361421
50.8667,0.361316
50.9333,0.361109
51,0.360972
51.0667,0.36091
51.1333,0.361093
51.2,0.361062
51.2667,0.361035
51.3333,0.356743
51.4,0.356973
51.4667,0.357125
51.5333,0.357164
51.6,0.357223
51.6667,0.357835
51.7333,0.357867
51.8,0.358417
51.8667,0.358089
51.9333,0.358647
52,0.358682
52.0667,0.359049
52.1333,0.359271
52.2,0.359509
52.2667,0.359779
52.3333,0.359673
52.4,0.359654
52.4667,0.35915
52.5333,0.359174
52.6,0.359267
52.6667,0.3605
52.7333,0.361768
52.8,0.362229
52.8667,0.362693
52.9333,0.364129
53,0.359474
53.0667,0.361097
53.1333,0.363392
53.2,0.36455
53.2667,0.36608
53.3333,0.367812
53.4,0.368542
53.4667,0.36981
53.5333,0.371336
53.6,0.372167
53.6667,0.373505
53.7333,0.373751
53.8,0.374071
53.8667,0.374512
53.9333,0.375593
54,0.376416
54.0667,0.377891
54.1333,0.379779
54.2,0.381894
54.2667,0.385651
54.3333,0.388231
54.4,0.389908
54.4667,0.392409
54.5333,0.394239
54.6,0.395266
54.6667,0.401516
54.7333,0.4017
54.8,0.402488
54.8667,0.403744
54.9333,0.404766
55,0.40607
55.0667,0.407533
55.1333,0.408867
55.2,0.409882
55.2667,0.410092
55.3333,0.411056
55.4,0.412363
55.4667,0.412496
55.5333,0.412773
55.6,0.412859
55.6667,0.413105
55.7333,0.412648
55.8,0.412742
55.8667,0.412913
55.9333,0.413288
56,0.413546
56.0667,0.413967
56.1333,0.414568
56.2,0.414763
56.2667,0.415118
56.3333,0.41243
56.4,0.412878
56.4667,0.413288
56.5333,0.413448
56.6,0.413124
56.6667,0.413284
56.7333,0.413062
56.8,0.412843
56.8667,0.41319
56.9333,0.413155
57,0.413553
57.0667,0.413538
57.1333,0.413499
57.2,0.41367
57.2667,0.413031
57.3333,0.412995
57.4,0.412878
57.4667,0.41291
57.5333,0.413206
57.6,0.413452
57.6667,0.413698
57.7333,0.413347
57.8,0.413089
57.8667,0.413198
57.9333,0.412952
58,0.409593
58.0667,0.409995
58.1333,0.410522
58.2,0.41065
58.2667,0.410522
58.3333,0.410931
58.4,0.411033
58.4667,0.410986
58.5333,0.411119
58.6,0.411189
58.6667,0.409765
58.7333,0.41028
58.8,0.410658
58.8667,0.41083
58.9333,0.4106
59,0.410717
59.0667,0.411228
59.1333,0.41106
59.2,0.411138
59.2667,0.411762
59.3333,0.411731
59.4,0.411567
59.4667,0.411778
59.5333,0.412137
59.6,0.412871
59.6667,0.413034
59.7333,0.413444
59.8,0.413596
59.8667,0.414166
59.9333,0.414548
60,0.414841
60.0667,0.414985
60.1333,0.414587
60.2,0.414638
60.2667,0.414712
60.3333,0.411435
60.4,0.411575
60.4667,0.412352
60.5333,0.412535
60.6,0.412695
60.6667,0.412995
60.7333,0.412972
60.8,0.412726
60.8667,0.412422
60.9333,0.411548
61,0.411037
61.0667,0.409718
61.1333,0.408641
61.2,0.407369
61.2667,0.406725
61.3333,0.406538
61.4,0.406678
61.4667,0.406932
61.5333,0.407115
61.6,0.407127
61.6667,0.407217
61.7333,0.406881
61.8,0.406924
61.8667,0.407076
61.9333,0.406885
62,0.40534
62.0667,0.405734
62.1333,0.405929
62.2,0.406366
62.2667,0.406296
62.3333,0.406788
62.4,0.407022
62.4667,0.40852
62.5333,0.40962
62.6,0.410635
62.6667,0.411954
62.7333,0.41312
62.8,0.413456
62.8667,0.413499
62.9333,0.413308
63,0.413296
63.0667,0.413378
63.1333,0.413421
63.2,0.413066
63.2667,0.413124
63.3333,0.413183
63.4,0.413288
63.4667,0.413393
63.5333,0.41346
63.6,0.413425
63.6667,0.409499
63.7333,0.410089
63.8,0.410557
63.8667,0.410526
63.9333,0.410623
64,0.411021
64.0667,0.411173
64.1333,0.411325
64.2,0.41147
64.2667,0.411513
64.3333,0.411653
64.4,0.411993
64.4667,0.412059
64.5333,0.412071
64.6,0.412215
64.6667,0.412301
64.7333,0.41298
64.8,0.413159
64.8667,0.413627
64.9333,0.41378
65,0.414287
65.0667,0.414342
65.1333,0.414256
65.2,0.414537
65.2667,0.41433
65.3333,0.412149
65.4,0.412504
65.4667,0.413011
65.5333,0.413507
65.6,0.413682
65.6667,0.413916
65.7333,0.41353
65.8,0.413456
65.8667,0.413097
65.9333,0.41289
66,0.412777
66.0667,0.413089
66.1333,0.412761
66.2,0.412746
66.2667,0.412789
66.3333,0.413198
66.4,0.412972
66.4667,0.412707
66.5333,0.412722
66.6,0.41291
66.6667,0.413409
66.7333,0.414267
66.8,0.414564
66.8667,0.414661
66.9333,0.414775
67,0.411076
67.0667,0.411407
67.1333,0.411809
67.2,0.411696
67.2667,0.412449
67.3333,0.412176
67.4,0.40804
67.4667,0.407369
67.5333,0.407802
67.6,0.407287
67.6667,0.407365
67.7333,0.407416
67.8,0.407174
67.8667,0.407463
67.9333,0.407619
68,0.407303
68.0667,0.406616
68.1333,0.407037
68.2,0.406959
68.2667,0.406897
68.3333,0.406483
68.4,0.406659
68.4667,0.406577
68.5333,0.406741
68.6,0.406737
68.6667,0.406202
68.7333,0.40621
68.8,0.40598
68.8667,0.405851
68.9333,0.405746
69,0.405613
69.0667,0.403163
69.1333,0.40335
69.2,0.403623
69.2667,0.404193
69.3333,0.404306
69.4,0.404088
69.4667,0.404657
69.5333,0.404595
69.6,0.405129
69.6667,0.405055
69.7333,0.405422
69.8,0.405508
69.8667,0.405797
69.9333,0.405773
70,0.405917
70.0667,0.405668
70.1333,0.405465
70.2,0.405133
70.2667,0.405441
70.3333,0.405336
70.4,0.405399
70.4667,0.405379
70.5333,0.405527
70.6,0.405582
70.6667,0.405235
70.7333,0.405477
70.8,0.405551
70.8667,0.404361
70.9333,0.40445
71,0.404208
71.0667,0.404185
71.1333,0.404142
71.2,0.403963
71.2667,0.404091
71.3333,0.404177
71.4,0.404376
71.4667,0.404825
71.5333,0.404809
71.6,0.404907
71.6667,0.40536
71.7333,0.405215
71.8,0.405219
71.8667,0.405246
71.9333,0.405383
72,0.405114
72.0667,0.40525
72.1333,0.40518
72.2,0.405484
72.2667,0.40575
72.3333,0.405882
72.4,0.400314
72.4667,0.400791
72.5333,0.400904
72.6,0.401743
72.6667,0.402176
72.7333,0.402925
72.8,0.403678
72.8667,0.40408
72.9333,0.404123
73,0.404462
73.0667,0.404384
73.1333,0.404349
73.2,0.404404
73.2667,0.404911
73.3333,0.404786
73.4,0.404302
73.4667,0.404255
73.5333,0.404368
73.6,0.404248
73.6667,0.403963
73.7333,0.403931
73.8,0.403947
73.8667,0.40392
73.9333,0.404146
74,0.404029
74.0667,0.402472
74.1333,0.402304
74.2,0.402624
74.2667,0.402656
74.3333,0.402976
74.4,0.40273
74.4667,0.402203
74.5333,0.402187
74.6,0.401965
74.6667,0.402113
74.7333,0.402094
74.8,0.402382
74.8667,0.402414
74.9333,0.402472
75,0.401629
75.0667,0.401762
75.1333,0.401864
75.2,0.402148
75.2667,0.402933
75.3333,0.402773
75.4,0.402652
75.4667,0.402429
75.5333,0.402816
75.6,0.402605
75.6667,0.402687
75.7333,0.402172
75.8,0.402246
75.8667,0.401622
75.9333,0.401981
76,0.402336
76.0667,0.402839
76.1333,0.40264
76.2,0.402784
76.2667,0.402827
76.3333,0.40246
76.4,0.40271
76.4667,0.403171
76.5333,0.403654
76.6,0.403998
76.6667,0.40401
76.7333,0.403955
76.8,0.403787
76.8667,0.403452
76.9333,0.403459
77,0.403139
77.0667,0.403073
77.1333,0.403327
77.2,0.403093
77.2667,0.403717
77.3333,0.40399
77.4,0.402535
77.4667,0.40248
77.5333,0.402453
77.6,0.402476
77.6667,0.402137
77.7333,0.402386
77.8,0.40209
77.8667,0.402535
77.9333,0.402141
78,0.402636
78.0667,0.402515
78.1333,0.402468
78.2,0.402546
78.2667,0.403011
78.3333,0.403225
78.4,0.403295
78.4667,0.403135
78.5333,0.403065
78.6,0.402722
78.6667,0.402796
78.7333,0.403159
78.8,0.402944
78.8667,0.40321
78.9333,0.403428
79,0.403612
79.0667,0.399608
79.1333,0.400073
79.2,0.400233
79.2667,0.401025
79.3333,0.401071
79.4,0.401571
79.4667,0.401711
79.5333,0.402351
79.6,0.402956
79.6667,0.403413
79.7333,0.403931
79.8,0.404528
79.8667,0.404766
79.9333,0.404786
80,0.404236
80.0667,0.404384
80.1333,0.404411
80.2,0.404486
80.2667,0.40472
80.3333,0.404677
80.4,0.404778
80.4667,0.405114
80.5333,0.405356
80.6,0.405285
80.6667,0.40548
80.7333,0.402991
80.8,0.403498
80.8667,0.403693
80.9333,0.403502
81,0.403678
81.0667,0.403315
81.1333,0.403779
81.2,0.403967
81.2667,0.403931
81.3333,0.404216
81.4,0.40392
81.4667,0.403939
81.5333,0.404134
81.6,0.404384
81.6667,0.404388
81.7333,0.40463
81.8,0.405317
81.8667,0.405535
81.9333,0.406007
82,0.406081
82.0667,0.406417
82.1333,0.406136
82.2,0.406639
82.2667,0.407572
82.3333,0.407564
82.4,0.405496
82.4667,0.405137
82.5333,0.405605
82.6,0.406066
82.6667,0.407342
82.7333,0.407814
82.8,0.407982
82.8667,0.407946
82.9333,0.408056
83,0.407513
83.0667,0.407443
83.1333,0.407447
83.2,0.407783
83.2667,0.407701
83.3333,0.408044
83.4,0.407689
83.4667,0.40733
83.5333,0.40733
83.6,0.407065
83.6667,0.407463
83.7333,0.407494
83.8,0.407599
83.8667,0.407416
83.9333,0.407373
84,0.407088
84.0667,0.406015
84.1333,0.40605
84.2,0.406148
84.2667,0.406838
84.3333,0.406877
84.4,0.406862
84.4667,0.407014
84.5333,0.406698
84.6,0.406983
84.6667,0.407131
84.7333,0.407197
84.8,0.407271
84.8667,0.407615
84.9333,0.408063
85,0.407978
85.0667,0.408684
85.1333,0.409105
85.2,0.409667
85.2667,0.410042
85.3333,0.409843
85.4,0.409113
85.4667,0.408637
85.5333,0.408426
85.6,0.408422
85.6667,0.408173
85.7333,0.406752
85.8,0.407135
85.8667,0.408153
85.9333,0.408118
86,0.407342
86.0667,0.407697
86.1333,0.407829
86.2,0.408181
86.2667,0.408571
86.3333,0.408575
86.4,0.407876
86.4667,0.408005
86.5333,0.408372
86.6,0.408368
86.6667,0.409281
86.7333,0.409745
86.8,0.409499
86.8667,0.409394
86.9333,0.409125
87,0.409066
87.0667,0.408867
87.1333,0.408422
87.2,0.408766
87.2667,0.409019
87.3333,0.408621
87.4,0.405945
87.4667,0.405594
87.5333,0.405192
87.6,0.405258
87.6667,0.404813
87.7333,0.404517
87.8,0.403998
87.8667,0.404474
87.9333,0.404185
88,0.404556
88.0667,0.404708
88.1333,0.404856
88.2,0.404763
88.2667,0.404341
88.3333,0.404029
88.4,0.403811
88.4667,0.403744
88.5333,0.403826
88.6,0.403736
88.6667,0.403857
88.7333,0.403717
88.8,0.403768
88.8667,0.403705
88.9333,0.403631
89,0.403935
89.0667,0.401181
89.1333,0.401068
89.2,0.401153
89.2667,0.401879
89.3333,0.40223
89.4,0.402749
